time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.78374e-06	4434.4
1	6.78374e-06	1.41207e-05	4434.4
2	1.41207e-05	2.2056e-05	4434.4
3	2.2056e-05	3.06384e-05	4434.4
4	3.06384e-05	3.99207e-05	560.407
5	3.99207e-05	4.99599e-05	560.407
6	4.99599e-05	6.08179e-05	1270.4
7	6.08179e-05	7.25613e-05	1270.4
8	7.25613e-05	8.52624e-05	1455.48
9	8.52624e-05	9.89993e-05	1455.48
10	9.89993e-05	0.000113856	1282.36
11	0.000113856	0.000129925	1282.36
12	0.000129925	0.000147304	1065.63
13	0.000147304	0.000166101	1065.63
14	0.000166101	0.00018643	912.157
15	0.00018643	0.000208417	912.157
16	0.000208417	0.000232197	820.751
17	0.000232197	0.000257916	820.751
18	0.000257916	0.000285733	769.515
19	0.000285733	0.000315818	769.515
20	0.000315818	0.000348357	741.05
21	0.000348357	0.000383549	741.05
22	0.000383549	0.000421611	728.46
23	0.000421611	0.000462777	728.46
24	0.000462777	0.0005073	732.497
25	0.0005073	0.000555454	732.497
26	0.000555454	0.000607535	753.11
27	0.000607535	0.000663863	753.11
28	0.000663863	0.000724785	785.418
29	0.000724785	0.000790675	785.418
30	0.000790675	0.000861938	819.965
31	0.000861938	0.000939013	819.965
32	0.000939013	0.00102237	845.696
33	0.00102237	0.00111253	845.696
34	0.00111253	0.00121004	853.429
35	0.00121004	0.0013155	853.429
36	0.0013155	0.00142957	838.602
37	0.00142957	0.00155293	838.602
38	0.00155293	0.00168636	802.478
39	0.00168636	0.00183066	802.478
40	0.00183066	0.00198673	752.446
41	0.00198673	0.00215554	752.446
42	0.00215554	0.0023381	699.762
43	0.0023381	0.00253556	699.762
44	0.00253556	0.00274912	655.852
45	0.00274912	0.00298009	655.852
46	0.00298009	0.0032299	629.054
47	0.0032299	0.00350008	629.054
48	0.00350008	0.0037923	626.288
49	0.0037923	0.00410834	626.288
50	0.00410834	0.00445016	658.257
51	0.00445016	0.00481985	658.257
52	0.00481985	0.00521969	752.435
53	0.00521969	0.00565214	752.435
54	0.00565214	0.00611986	1684
55	0.00611986	0.00662571	1684
56	0.00662571	0.00717282	1684
57	0.00717282	0.00776455	1684
58	0.00776455	0.00840453	1.20214
59	0.00840453	0.0090967	1.20214
60	0.0090967	0.00984532	1.20214
61	0.00984532	0.010655	1.20214
62	0.010655	0.0115307	1.20214
63	0.0115307	inf	1.20214
