time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.34976e-05	420.834
1	1.34976e-05	2.80959e-05	420.834
2	2.80959e-05	4.38847e-05	420.834
3	4.38847e-05	6.09611e-05	420.834
4	6.09611e-05	7.943e-05	147.28
5	7.943e-05	9.94051e-05	147.28
6	9.94051e-05	0.000121009	207.042
7	0.000121009	0.000144375	207.042
8	0.000144375	0.000169646	295.202
9	0.000169646	0.000196979	295.202
10	0.000196979	0.00022654	438.428
11	0.00022654	0.000258512	438.428
12	0.000258512	0.000293091	594.915
13	0.000293091	0.00033049	594.915
14	0.00033049	0.000370939	690.589
15	0.000370939	0.000414686	690.589
16	0.000414686	0.000462001	700.292
17	0.000462001	0.000513175	700.292
18	0.000513175	0.000568522	655.559
19	0.000568522	0.000628382	655.559
20	0.000628382	0.000693124	598.847
21	0.000693124	0.000763146	598.847
22	0.000763146	0.000838878	551.761
23	0.000838878	0.000920786	551.761
24	0.000920786	0.00100937	523.76
25	0.00100937	0.00110519	523.76
26	0.00110519	0.00120881	515.594
27	0.00120881	0.00132089	515.594
28	0.00132089	0.0014421	526.602
29	0.0014421	0.0015732	526.602
30	0.0015732	0.00171499	553.809
31	0.00171499	0.00186835	553.809
32	0.00186835	0.00203421	593.915
33	0.00203421	0.0022136	593.915
34	0.0022136	0.00240761	642.435
35	0.00240761	0.00261745	642.435
36	0.00261745	0.0028444	692.617
37	0.0028444	0.00308986	692.617
38	0.00308986	0.00335534	738.345
39	0.00335534	0.00364246	738.345
40	0.00364246	0.003953	774.437
41	0.003953	0.00428886	774.437
42	0.00428886	0.00465212	798.521
43	0.00465212	0.00504499	798.521
44	0.00504499	0.00546991	805.914
45	0.00546991	0.00592948	805.914
46	0.00592948	0.00642652	795.638
47	0.00642652	0.0069641	795.638
48	0.0069641	0.00754552	766.921
49	0.00754552	0.00817435	766.921
50	0.00817435	0.00885447	725.121
51	0.00885447	0.00959004	725.121
52	0.00959004	0.0103856	673.332
53	0.0103856	0.011246	673.332
54	0.011246	0.0121767	609.553
55	0.0121767	0.0131832	609.553
56	0.0131832	0.0142717	609.553
57	0.0142717	0.0154491	609.553
58	0.0154491	0.0167225	421.326
59	0.0167225	0.0180997	421.326
60	0.0180997	0.0195892	421.326
61	0.0195892	0.0212002	421.326
62	0.0212002	0.0229426	421.326
63	0.0229426	inf	421.326
