time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.66958e-05	965.509
1	1.66958e-05	3.47532e-05	965.509
2	3.47532e-05	5.42832e-05	965.509
3	5.42832e-05	7.54058e-05	965.509
4	7.54058e-05	9.8251e-05	68.6173
5	9.8251e-05	0.000122959	68.6173
6	0.000122959	0.000149682	124.73
7	0.000149682	0.000178585	124.73
8	0.000178585	0.000209844	156.168
9	0.000209844	0.000243653	156.168
10	0.000243653	0.000280218	221.273
11	0.000280218	0.000319766	221.273
12	0.000319766	0.000362539	269.597
13	0.000362539	0.000408799	269.597
14	0.000408799	0.000458833	305.337
15	0.000458833	0.000512946	305.337
16	0.000512946	0.000571473	328.739
17	0.000571473	0.000634772	328.739
18	0.000634772	0.000703233	337.748
19	0.000703233	0.000777278	337.748
20	0.000777278	0.00085736	340.137
21	0.00085736	0.000943974	340.137
22	0.000943974	0.00103765	346.534
23	0.00103765	0.00113897	346.534
24	0.00113897	0.00124854	364.192
25	0.00124854	0.00136706	364.192
26	0.00136706	0.00149524	396.429
27	0.00149524	0.00163387	396.429
28	0.00163387	0.00178381	443.362
29	0.00178381	0.00194597	443.362
30	0.00194597	0.00212136	504.141
31	0.00212136	0.00231106	504.141
32	0.00231106	0.00251622	577.76
33	0.00251622	0.00273811	577.76
34	0.00273811	0.0029781	663.225
35	0.0029781	0.00323766	663.225
36	0.00323766	0.00351838	755.968
37	0.00351838	0.003822	755.968
38	0.003822	0.00415038	846.302
39	0.00415038	0.00450554	846.302
40	0.00450554	0.00488966	921.671
41	0.00488966	0.00530511	921.671
42	0.00530511	0.00575444	970.083
43	0.00575444	0.0062404	970.083
44	0.0062404	0.006766	983.755
45	0.006766	0.00733447	983.755
46	0.00733447	0.00794929	960.338
47	0.00794929	0.00861424	960.338
48	0.00861424	0.00933343	900.923
49	0.00933343	0.0101113	900.923
50	0.0101113	0.0109525	813.351
51	0.0109525	0.0118624	813.351
52	0.0118624	0.0128465	715.423
53	0.0128465	0.0139108	715.423
54	0.0139108	0.0150619	596.635
55	0.0150619	0.0163069	596.635
56	0.0163069	0.0176534	596.635
57	0.0176534	0.0191098	596.635
58	0.0191098	0.0206849	428.103
59	0.0206849	0.0223884	428.103
60	0.0223884	0.0242309	428.103
61	0.0242309	0.0262236	428.103
62	0.0262236	0.0283788	428.103
63	0.0283788	inf	428.103
