time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.92869e-06	716.107
1	6.92869e-06	1.44224e-05	716.107
2	1.44224e-05	2.25273e-05	716.107
3	2.25273e-05	3.1293e-05	716.107
4	3.1293e-05	4.07737e-05	4617.15
5	4.07737e-05	5.10275e-05	4617.15
6	5.10275e-05	6.21174e-05	4818.5
7	6.21174e-05	7.41118e-05	4818.5
8	7.41118e-05	8.70843e-05	3573.68
9	8.70843e-05	0.000101115	3573.68
10	0.000101115	0.000116289	2390.95
11	0.000116289	0.000132701	2390.95
12	0.000132701	0.000150452	1568.06
13	0.000150452	0.00016965	1568.06
14	0.00016965	0.000190413	1053.09
15	0.000190413	0.00021287	1053.09
16	0.00021287	0.000237158	760.487
17	0.000237158	0.000263427	760.487
18	0.000263427	0.000291838	613.663
19	0.000291838	0.000322566	613.663
20	0.000322566	0.0003558	558.021
21	0.0003558	0.000391745	558.021
22	0.000391745	0.00043062	563.252
23	0.00043062	0.000472666	563.252
24	0.000472666	0.00051814	614.466
25	0.00051814	0.000567323	614.466
26	0.000567323	0.000620517	702.617
27	0.000620517	0.000678048	702.617
28	0.000678048	0.000740272	814.573
29	0.000740272	0.00080757	814.573
30	0.00080757	0.000880355	931.982
31	0.000880355	0.000959077	931.982
32	0.000959077	0.00104422	1027.3
33	0.00104422	0.0011363	1027.3
34	0.0011363	0.0012359	1076.17
35	0.0012359	0.00134361	1076.17
36	0.00134361	0.00146011	1065.65
37	0.00146011	0.00158611	1065.65
38	0.00158611	0.00172239	1001.8
39	0.00172239	0.00186978	1001.8
40	0.00186978	0.00202919	905.633
41	0.00202919	0.00220159	905.633
42	0.00220159	0.00238806	802.877
43	0.00238806	0.00258974	802.877
44	0.00258974	0.00280786	715.165
45	0.00280786	0.00304377	715.165
46	0.00304377	0.00329892	656.93
47	0.00329892	0.00357487	656.93
48	0.00357487	0.00387333	635.558
49	0.00387333	0.00419613	635.558
50	0.00419613	0.00454525	651.629
51	0.00454525	0.00492284	651.629
52	0.00492284	0.00533123	700.67
53	0.00533123	0.00577291	700.67
54	0.00577291	0.00625062	797.604
55	0.00625062	0.00676729	797.604
56	0.00676729	0.00732609	797.604
57	0.00732609	0.00793046	797.604
58	0.00793046	0.00858411	634.228
59	0.00858411	0.00929108	634.228
60	0.00929108	0.0100557	634.228
61	0.0100557	0.0108827	634.228
62	0.0108827	0.0117771	634.228
63	0.0117771	inf	634.228
