time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.545e-05	155.998
1	1.545e-05	3.216e-05	155.998
2	3.216e-05	5.02326e-05	155.998
3	5.02326e-05	6.97791e-05	155.998
4	6.97791e-05	9.09196e-05	119.662
5	9.09196e-05	0.000113784	119.662
6	0.000113784	0.000138513	116.45
7	0.000138513	0.000165259	116.45
8	0.000165259	0.000194186	150.301
9	0.000194186	0.000225472	150.301
10	0.000225472	0.000259309	211.175
11	0.000259309	0.000295905	211.175
12	0.000295905	0.000335486	235.775
13	0.000335486	0.000378295	235.775
14	0.000378295	0.000424595	250.136
15	0.000424595	0.000474671	250.136
16	0.000474671	0.00052883	267.411
17	0.00052883	0.000587406	267.411
18	0.000587406	0.000650759	291.202
19	0.000650759	0.000719278	291.202
20	0.000719278	0.000793385	325.019
21	0.000793385	0.000873535	325.019
22	0.000873535	0.000960222	373.856
23	0.000960222	0.00105398	373.856
24	0.00105398	0.00115538	441.217
25	0.00115538	0.00126505	441.217
26	0.00126505	0.00138367	528.02
27	0.00138367	0.00151195	528.02
28	0.00151195	0.0016507	632.261
29	0.0016507	0.00180077	632.261
30	0.00180077	0.00196307	750.773
31	0.00196307	0.00213861	750.773
32	0.00213861	0.00232846	880.267
33	0.00232846	0.00253379	880.267
34	0.00253379	0.00275588	1017.84
35	0.00275588	0.00299607	1017.84
36	0.00299607	0.00325585	1156.51
37	0.00325585	0.00353681	1156.51
38	0.00353681	0.00384068	1283.05
39	0.00384068	0.00416934	1283.05
40	0.00416934	0.0045248	1380.4
41	0.0045248	0.00490925	1380.4
42	0.00490925	0.00532505	1433.77
43	0.00532505	0.00577475	1433.77
44	0.00577475	0.00626113	1434.19
45	0.00626113	0.00678717	1434.19
46	0.00678717	0.00735612	1370.3
47	0.00735612	0.00797146	1370.3
48	0.00797146	0.00863698	1247.34
49	0.00863698	0.00935677	1247.34
50	0.00935677	0.0101353	1095.41
51	0.0101353	0.0109772	1095.41
52	0.0109772	0.0118879	768.629
53	0.0118879	0.0128728	768.629
54	0.0128728	0.013938	37.1937
55	0.013938	0.0150901	37.1937
56	0.0150901	0.0163361	37.1937
57	0.0163361	0.0176838	37.1937
58	0.0176838	0.0191414	0.52783
59	0.0191414	0.0207178	0.52783
60	0.0207178	0.0224228	0.52783
61	0.0224228	0.0242668	0.52783
62	0.0242668	0.0262612	0.52783
63	0.0262612	inf	0.52783
