time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.62945e-05	108.654
1	1.62945e-05	3.39178e-05	108.654
2	3.39178e-05	5.29783e-05	108.654
3	5.29783e-05	7.35932e-05	108.654
4	7.35932e-05	9.58892e-05	70.9762
5	9.58892e-05	0.000120003	70.9762
6	0.000120003	0.000146084	125.685
7	0.000146084	0.000174292	125.685
8	0.000174292	0.0002048	188.761
9	0.0002048	0.000237796	188.761
10	0.000237796	0.000273482	235.525
11	0.000273482	0.000312079	235.525
12	0.000312079	0.000353824	320.708
13	0.000353824	0.000398972	320.708
14	0.000398972	0.000447803	433.304
15	0.000447803	0.000500616	433.304
16	0.000500616	0.000557735	540.405
17	0.000557735	0.000619513	540.405
18	0.000619513	0.000686329	620.453
19	0.000686329	0.000758593	620.453
20	0.000758593	0.000836751	665.901
21	0.000836751	0.000921282	665.901
22	0.000921282	0.00101271	672.779
23	0.00101271	0.00111159	672.779
24	0.00111159	0.00121853	641.763
25	0.00121853	0.0013342	641.763
26	0.0013342	0.0014593	581.153
27	0.0014593	0.0015946	581.153
28	0.0015946	0.00174093	509.07
29	0.00174093	0.0018992	509.07
30	0.0018992	0.00207037	446.105
31	0.00207037	0.0022555	446.105
32	0.0022555	0.00245573	405.482
33	0.00245573	0.00267229	405.482
34	0.00267229	0.00290651	392.8
35	0.00290651	0.00315983	392.8
36	0.00315983	0.00343381	411.104
37	0.00343381	0.00373013	411.104
38	0.00373013	0.00405061	465.311
39	0.00405061	0.00439723	465.311
40	0.00439723	0.00477212	554.643
41	0.00477212	0.00517758	554.643
42	0.00517758	0.00561611	666.323
43	0.00561611	0.0060904	666.323
44	0.0060904	0.00660336	776.994
45	0.00660336	0.00715816	776.994
46	0.00715816	0.0077582	862.249
47	0.0077582	0.00840717	862.249
48	0.00840717	0.00910907	908.916
49	0.00910907	0.00986821	908.916
50	0.00986821	0.0106893	913.597
51	0.0106893	0.0115773	913.597
52	0.0115773	0.0125377	881.956
53	0.0125377	0.0135764	881.956
54	0.0135764	0.0146999	799.782
55	0.0146999	0.0159149	799.782
56	0.0159149	0.0172291	799.782
57	0.0172291	0.0186504	799.782
58	0.0186504	0.0201876	631.472
59	0.0201876	0.0218502	631.472
60	0.0218502	0.0236484	631.472
61	0.0236484	0.0255932	631.472
62	0.0255932	0.0276966	631.472
63	0.0276966	inf	631.472
