time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.29731e-05	839.888
1	1.29731e-05	2.70042e-05	839.888
2	2.70042e-05	4.21795e-05	839.888
3	4.21795e-05	5.85924e-05	839.888
4	5.85924e-05	7.63437e-05	538.563
5	7.63437e-05	9.55427e-05	538.563
6	9.55427e-05	0.000116307	550.508
7	0.000116307	0.000138765	550.508
8	0.000138765	0.000163055	606.177
9	0.000163055	0.000189325	606.177
10	0.000189325	0.000217737	580.899
11	0.000217737	0.000248467	580.899
12	0.000248467	0.000281702	528.138
13	0.000281702	0.000317648	528.138
14	0.000317648	0.000356526	500.731
15	0.000356526	0.000398573	500.731
16	0.000398573	0.00044405	499.16
17	0.00044405	0.000493235	499.16
18	0.000493235	0.000546432	520.324
19	0.000546432	0.000603966	520.324
20	0.000603966	0.000666193	544.211
21	0.000666193	0.000733494	544.211
22	0.000733494	0.000806283	546.311
23	0.000806283	0.000885008	546.311
24	0.000885008	0.000970154	521.524
25	0.000970154	0.00106224	521.524
26	0.00106224	0.00116184	493.427
27	0.00116184	0.00126956	493.427
28	0.00126956	0.00138607	482.573
29	0.00138607	0.00151207	482.573
30	0.00151207	0.00164836	497.701
31	0.00164836	0.00179575	497.701
32	0.00179575	0.00195517	542.898
33	0.00195517	0.00212759	542.898
34	0.00212759	0.00231406	617.233
35	0.00231406	0.00251575	617.233
36	0.00251575	0.00273388	725.225
37	0.00273388	0.0029698	725.225
38	0.0029698	0.00322496	868.12
39	0.00322496	0.00350093	868.12
40	0.00350093	0.0037994	1044.19
41	0.0037994	0.00412222	1044.19
42	0.00412222	0.00447136	1235.84
43	0.00447136	0.00484897	1235.84
44	0.00484897	0.00525737	1411.12
45	0.00525737	0.00569908	1411.12
46	0.00569908	0.00617681	1535.22
47	0.00617681	0.00669351	1535.22
48	0.00669351	0.00725233	1577.15
49	0.00725233	0.00785673	1577.15
50	0.00785673	0.00851042	1525.12
51	0.00851042	0.00921742	1525.12
52	0.00921742	0.00998207	1389.17
53	0.00998207	0.0108091	1389.17
54	0.0108091	0.0117035	1177.33
55	0.0117035	0.0126709	1177.33
56	0.0126709	0.0137172	1177.33
57	0.0137172	0.0148488	1177.33
58	0.0148488	0.0160727	900.014
59	0.0160727	0.0173964	900.014
60	0.0173964	0.018828	900.014
61	0.018828	0.0203764	900.014
62	0.0203764	0.0220511	900.014
63	0.0220511	inf	900.014
