time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.77091e-06	606.994
1	9.77091e-06	2.03386e-05	606.994
2	2.03386e-05	3.17682e-05	606.994
3	3.17682e-05	4.41297e-05	606.994
4	4.41297e-05	5.74994e-05	479.069
5	5.74994e-05	7.19594e-05	479.069
6	7.19594e-05	8.75986e-05	583.869
7	8.75986e-05	0.000104513	583.869
8	0.000104513	0.000122807	496.212
9	0.000122807	0.000142593	496.212
10	0.000142593	0.000163992	443.78
11	0.000163992	0.000187137	443.78
12	0.000187137	0.000212169	454.396
13	0.000212169	0.000239242	454.396
14	0.000239242	0.000268523	499.632
15	0.000268523	0.000300192	499.632
16	0.000300192	0.000334443	568.98
17	0.000334443	0.000371488	568.98
18	0.000371488	0.000411553	659.018
19	0.000411553	0.000454886	659.018
20	0.000454886	0.000501753	757.18
21	0.000501753	0.000552442	757.18
22	0.000552442	0.000607264	842.801
23	0.000607264	0.000666558	842.801
24	0.000666558	0.000730686	901.58
25	0.000730686	0.000800044	901.58
26	0.000800044	0.000875059	932.594
27	0.000875059	0.00095619	932.594
28	0.00095619	0.00104394	941.834
29	0.00104394	0.00113884	941.834
30	0.00113884	0.00124149	933.322
31	0.00124149	0.0013525	933.322
32	0.0013525	0.00147257	907.469
33	0.00147257	0.00160242	907.469
34	0.00160242	0.00174287	866.428
35	0.00174287	0.00189477	866.428
36	0.00189477	0.00205906	819.481
37	0.00205906	0.00223675	819.481
38	0.00223675	0.00242893	782.259
39	0.00242893	0.00263678	782.259
40	0.00263678	0.00286158	770.137
41	0.00286158	0.00310471	770.137
42	0.00310471	0.00336767	791.264
43	0.00336767	0.00365207	791.264
44	0.00365207	0.00395967	840.437
45	0.00395967	0.00429235	840.437
46	0.00429235	0.00465216	899.338
47	0.00465216	0.00504132	899.338
48	0.00504132	0.0054622	936.382
49	0.0054622	0.00591742	936.382
50	0.00591742	0.00640975	894.28
51	0.00640975	0.00694224	894.28
52	0.00694224	0.00751815	664.533
53	0.00751815	0.00814102	664.533
54	0.00814102	0.00881469	161.458
55	0.00881469	0.0095433	161.458
56	0.0095433	0.0103313	161.458
57	0.0103313	0.0111836	161.458
58	0.0111836	0.0121054	0.834618
59	0.0121054	0.0131024	0.834618
60	0.0131024	0.0141806	0.834618
61	0.0141806	0.0153468	0.834618
62	0.0153468	0.0166081	0.834618
63	0.0166081	inf	0.834618
