time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.45963e-05	488.026
1	1.45963e-05	3.03829e-05	488.026
2	3.03829e-05	4.74569e-05	488.026
3	4.74569e-05	6.59232e-05	488.026
4	6.59232e-05	8.58956e-05	403.205
5	8.58956e-05	0.000107497	403.205
6	0.000107497	0.000130859	334.834
7	0.000130859	0.000156127	334.834
8	0.000156127	0.000183455	320.948
9	0.000183455	0.000213012	320.948
10	0.000213012	0.00024498	404.385
11	0.00024498	0.000279554	404.385
12	0.000279554	0.000316948	411.135
13	0.000316948	0.000357391	411.135
14	0.000357391	0.000401133	396.47
15	0.000401133	0.000448441	396.47
16	0.000448441	0.000499608	397.394
17	0.000499608	0.000554947	397.394
18	0.000554947	0.000614799	391.87
19	0.000614799	0.000679532	391.87
20	0.000679532	0.000749544	377.983
21	0.000749544	0.000825266	377.983
22	0.000825266	0.000907162	376.947
23	0.000907162	0.000995737	376.947
24	0.000995737	0.00109154	394.512
25	0.00109154	0.00119515	394.512
26	0.00119515	0.00130721	427.323
27	0.00130721	0.00142841	427.323
28	0.00142841	0.00155949	473.404
29	0.00155949	0.00170126	473.404
30	0.00170126	0.00185459	529.097
31	0.00185459	0.00202043	529.097
32	0.00202043	0.00219979	588.038
33	0.00219979	0.00239378	588.038
34	0.00239378	0.00260359	647.692
35	0.00260359	0.00283051	647.692
36	0.00283051	0.00307593	704.389
37	0.00307593	0.00334137	704.389
38	0.00334137	0.00362846	751.656
39	0.00362846	0.00393895	751.656
40	0.00393895	0.00427477	782.467
41	0.00427477	0.00463797	782.467
42	0.00463797	0.00503079	795.851
43	0.00503079	0.00545565	795.851
44	0.00545565	0.00591515	791.149
45	0.00591515	0.00641213	791.149
46	0.00641213	0.00694963	770.171
47	0.00694963	0.00753097	770.171
48	0.00753097	0.00815972	730.884
49	0.00815972	0.00883974	730.884
50	0.00883974	0.00957521	654.984
51	0.00957521	0.0103707	654.984
52	0.0103707	0.011231	518.034
53	0.011231	0.0121615	518.034
54	0.0121615	0.0131678	242.635
55	0.0131678	0.0142563	242.635
56	0.0142563	0.0154334	242.635
57	0.0154334	0.0167066	242.635
58	0.0167066	0.0180837	0.558703
59	0.0180837	0.019573	0.558703
60	0.019573	0.0211837	0.558703
61	0.0211837	0.0229259	0.558703
62	0.0229259	0.0248101	0.558703
63	0.0248101	inf	0.558703
