time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.69089e-06	3393.33
1	3.69089e-06	7.68278e-06	3393.33
2	7.68278e-06	1.20002e-05	3393.33
3	1.20002e-05	1.66697e-05	3393.33
4	1.66697e-05	2.172e-05	1258.1
5	2.172e-05	2.71822e-05	1258.1
6	2.71822e-05	3.30898e-05	405.684
7	3.30898e-05	3.94791e-05	405.684
8	3.94791e-05	4.63895e-05	178.874
9	4.63895e-05	5.38635e-05	178.874
10	5.38635e-05	6.19469e-05	89.1682
11	6.19469e-05	7.06896e-05	89.1682
12	7.06896e-05	8.01452e-05	46.4151
13	8.01452e-05	9.03719e-05	46.4151
14	9.03719e-05	0.000101433	24.4704
15	0.000101433	0.000113395	24.4704
16	0.000113395	0.000126334	13.1698
17	0.000126334	0.000140327	13.1698
18	0.000140327	0.000155461	7.28951
19	0.000155461	0.00017183	7.28951
20	0.00017183	0.000189534	4.0919
21	0.000189534	0.000208681	4.0919
22	0.000208681	0.00022939	2.29889
23	0.00022939	0.000251788	2.29889
24	0.000251788	0.000276012	2.20949
25	0.000276012	0.000302211	2.20949
26	0.000302211	0.000330547	2.20949
27	0.000330547	0.000361194	2.20949
28	0.000361194	0.000394341	2.20949
29	0.000394341	0.00043019	2.20949
30	0.00043019	0.000468963	2.20949
31	0.000468963	0.000510897	2.20949
32	0.000510897	0.000556252	2.20949
33	0.000556252	0.000605305	2.20949
34	0.000605305	0.000658358	2.20949
35	0.000658358	0.000715738	2.20949
36	0.000715738	0.000777797	2.20949
37	0.000777797	0.000844917	2.20949
38	0.000844917	0.000917511	2.20949
39	0.000917511	0.000996025	2.20949
40	0.000996025	0.00108094	2.20949
41	0.00108094	0.00117278	2.20949
42	0.00117278	0.00127211	2.20949
43	0.00127211	0.00137955	2.20949
44	0.00137955	0.00149574	2.20949
45	0.00149574	0.00162141	2.20949
46	0.00162141	0.00175732	2.20949
47	0.00175732	0.00190432	2.20949
48	0.00190432	0.00206331	2.20949
49	0.00206331	0.00223526	2.20949
50	0.00223526	0.00242124	2.20949
51	0.00242124	0.00262238	2.20949
52	0.00262238	0.00283993	2.20949
53	0.00283993	0.00307521	2.20949
54	0.00307521	0.00332969	2.20949
55	0.00332969	0.00360491	2.20949
56	0.00360491	0.00390258	2.20949
57	0.00390258	0.00422453	2.20949
58	0.00422453	0.00457273	2.20949
59	0.00457273	0.00494933	2.20949
60	0.00494933	0.00535663	2.20949
61	0.00535663	0.00579716	2.20949
62	0.00579716	0.00627361	2.20949
63	0.00627361	inf	2.20949
