time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.39919e-05	825.21
1	1.39919e-05	2.91248e-05	825.21
2	2.91248e-05	4.54919e-05	825.21
3	4.54919e-05	6.31936e-05	825.21
4	6.31936e-05	8.2339e-05	1173.41
5	8.2339e-05	0.000103046	1173.41
6	0.000103046	0.000125441	708.705
7	0.000125441	0.000149662	708.705
8	0.000149662	0.000175859	520.426
9	0.000175859	0.000204192	520.426
10	0.000204192	0.000234836	437.456
11	0.000234836	0.000267979	437.456
12	0.000267979	0.000303824	405.91
13	0.000303824	0.000342593	405.91
14	0.000342593	0.000384523	397.254
15	0.000384523	0.000429873	397.254
16	0.000429873	0.000478921	395.436
17	0.000478921	0.000531969	395.436
18	0.000531969	0.000589343	396.313
19	0.000589343	0.000651395	396.313
20	0.000651395	0.000718509	404.091
21	0.000718509	0.000791095	404.091
22	0.000791095	0.0008696	422.902
23	0.0008696	0.000954508	422.902
24	0.000954508	0.00104634	452.746
25	0.00104634	0.00114566	452.746
26	0.00114566	0.00125308	490.921
27	0.00125308	0.00136926	490.921
28	0.00136926	0.00149492	533.539
29	0.00149492	0.00163082	533.539
30	0.00163082	0.0017778	577.279
31	0.0017778	0.00193677	577.279
32	0.00193677	0.00210871	621.307
33	0.00210871	0.00229467	621.307
34	0.00229467	0.00249579	666.702
35	0.00249579	0.00271331	666.702
36	0.00271331	0.00294857	714.917
37	0.00294857	0.00320302	714.917
38	0.00320302	0.00347822	768.811
39	0.00347822	0.00377586	768.811
40	0.00377586	0.00409777	829.561
41	0.00409777	0.00444593	829.561
42	0.00444593	0.00482249	894.215
43	0.00482249	0.00522975	894.215
44	0.00522975	0.00567023	958.233
45	0.00567023	0.00614663	958.233
46	0.00614663	0.00666188	1012.64
47	0.00666188	0.00721914	1012.64
48	0.00721914	0.00782185	1049.73
49	0.00782185	0.00847372	1049.73
50	0.00847372	0.00917874	1061.12
51	0.00917874	0.00994126	1061.12
52	0.00994126	0.010766	1040.05
53	0.010766	0.0116579	1040.05
54	0.0116579	0.0126226	954.617
55	0.0126226	0.013666	954.617
56	0.013666	0.0147944	954.617
57	0.0147944	0.0160149	954.617
58	0.0160149	0.0173349	710.145
59	0.0173349	0.0187625	710.145
60	0.0187625	0.0203066	710.145
61	0.0203066	0.0219766	710.145
62	0.0219766	0.0237828	710.145
63	0.0237828	inf	710.145
