time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.02245e-05	2483.75
1	1.02245e-05	2.12828e-05	2483.75
2	2.12828e-05	3.32429e-05	2483.75
3	3.32429e-05	4.61784e-05	2483.75
4	4.61784e-05	6.01687e-05	1078.03
5	6.01687e-05	7.53e-05	1078.03
6	7.53e-05	9.16652e-05	912.258
7	9.16652e-05	0.000109365	912.258
8	0.000109365	0.000128508	712.433
9	0.000128508	0.000149212	712.433
10	0.000149212	0.000171605	602.25
11	0.000171605	0.000195824	602.25
12	0.000195824	0.000222018	570.569
13	0.000222018	0.000250348	570.569
14	0.000250348	0.000280988	575.443
15	0.000280988	0.000314127	575.443
16	0.000314127	0.000349969	596.791
17	0.000349969	0.000388733	596.791
18	0.000388733	0.000430659	621.538
19	0.000430659	0.000476004	621.538
20	0.000476004	0.000525046	641.165
21	0.000525046	0.000578088	641.165
22	0.000578088	0.000635456	654.378
23	0.000635456	0.000697501	654.378
24	0.000697501	0.000764607	662.857
25	0.000764607	0.000837185	662.857
26	0.000837185	0.000915682	669.241
27	0.000915682	0.00100058	669.241
28	0.00100058	0.0010924	675.846
29	0.0010924	0.00119171	675.846
30	0.00119171	0.00129912	684.102
31	0.00129912	0.00141529	684.102
32	0.00141529	0.00154093	694.768
33	0.00154093	0.00167681	694.768
34	0.00167681	0.00182378	708.095
35	0.00182378	0.00198274	708.095
36	0.00198274	0.00215465	723.7
37	0.00215465	0.00234059	723.7
38	0.00234059	0.00254169	740.477
39	0.00254169	0.00275919	740.477
40	0.00275919	0.00299442	757.263
41	0.00299442	0.00324884	757.263
42	0.00324884	0.00352401	773.512
43	0.00352401	0.00382161	773.512
44	0.00382161	0.00414349	788.021
45	0.00414349	0.00449162	788.021
46	0.00449162	0.00486813	796.119
47	0.00486813	0.00527535	796.119
48	0.00527535	0.00571578	791.696
49	0.00571578	0.00619212	791.696
50	0.00619212	0.00670731	773.795
51	0.00670731	0.00726452	773.795
52	0.00726452	0.00786716	746.987
53	0.00786716	0.00851895	746.987
54	0.00851895	0.00922389	704.016
55	0.00922389	0.00998633	704.016
56	0.00998633	0.0108109	704.016
57	0.0108109	0.0117028	704.016
58	0.0117028	0.0126674	490.967
59	0.0126674	0.0137106	490.967
60	0.0137106	0.0148389	490.967
61	0.0148389	0.0160593	490.967
62	0.0160593	0.0173791	490.967
63	0.0173791	inf	490.967
