time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.60065e-05	197.931
1	1.60065e-05	3.33184e-05	197.931
2	3.33184e-05	5.2042e-05	197.931
3	5.2042e-05	7.22926e-05	197.931
4	7.22926e-05	9.41945e-05	407.533
5	9.41945e-05	0.000117883	407.533
6	0.000117883	0.000143502	686.415
7	0.000143502	0.000171212	686.415
8	0.000171212	0.00020118	574.559
9	0.00020118	0.000233593	574.559
10	0.000233593	0.000268649	435.417
11	0.000268649	0.000306564	435.417
12	0.000306564	0.000347571	391.01
13	0.000347571	0.000391921	391.01
14	0.000391921	0.000439889	368.356
15	0.000439889	0.000491768	368.356
16	0.000491768	0.000547879	347.434
17	0.000547879	0.000608565	347.434
18	0.000608565	0.000674199	334.813
19	0.000674199	0.000745187	334.813
20	0.000745187	0.000821963	330.701
21	0.000821963	0.000905001	330.701
22	0.000905001	0.00099481	332.916
23	0.00099481	0.00109194	332.916
24	0.00109194	0.001197	346.75
25	0.001197	0.00131062	346.75
26	0.00131062	0.00143351	367.295
27	0.00143351	0.00156641	367.295
28	0.00156641	0.00171016	397.231
29	0.00171016	0.00186563	397.231
30	0.00186563	0.00203378	436.491
31	0.00203378	0.00221564	436.491
32	0.00221564	0.00241233	482.735
33	0.00241233	0.00262506	482.735
34	0.00262506	0.00285514	533.015
35	0.00285514	0.00310399	533.015
36	0.00310399	0.00337312	582.706
37	0.00337312	0.00366421	582.706
38	0.00366421	0.00397903	614.365
39	0.00397903	0.00431952	614.365
40	0.00431952	0.00468779	627.665
41	0.00468779	0.00508608	627.665
42	0.00508608	0.00551686	618.311
43	0.00551686	0.00598276	618.311
44	0.00598276	0.00648666	585.574
45	0.00648666	0.00703165	585.574
46	0.00703165	0.00762109	542.264
47	0.00762109	0.00825859	542.264
48	0.00825859	0.00894809	498.812
49	0.00894809	0.00969381	498.812
50	0.00969381	0.0105003	455.009
51	0.0105003	0.0113726	455.009
52	0.0113726	0.0123161	420.346
53	0.0123161	0.0133365	420.346
54	0.0133365	0.0144401	387.678
55	0.0144401	0.0156337	387.678
56	0.0156337	0.0169246	387.678
57	0.0169246	0.0183208	387.678
58	0.0183208	0.0198308	300.098
59	0.0198308	0.0214641	300.098
60	0.0214641	0.0232305	300.098
61	0.0232305	0.0251409	300.098
62	0.0251409	0.0272071	300.098
63	0.0272071	inf	300.098
