time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.53118e-06	5806.77
1	1.53118e-06	3.18723e-06	5806.77
2	3.18723e-06	4.97833e-06	5806.77
3	4.97833e-06	6.91549e-06	5806.77
4	6.91549e-06	9.01062e-06	5516.35
5	9.01062e-06	1.12766e-05	5516.35
6	1.12766e-05	1.37274e-05	3710.39
7	1.37274e-05	1.63781e-05	3710.39
8	1.63781e-05	1.92449e-05	2951.92
9	1.92449e-05	2.23455e-05	2951.92
10	2.23455e-05	2.56989e-05	2293.67
11	2.56989e-05	2.93258e-05	2293.67
12	2.93258e-05	3.32485e-05	1678.77
13	3.32485e-05	3.74911e-05	1678.77
14	3.74911e-05	4.20797e-05	1190.79
15	4.20797e-05	4.70424e-05	1190.79
16	4.70424e-05	5.24099e-05	827.513
17	5.24099e-05	5.82151e-05	827.513
18	5.82151e-05	6.44937e-05	562.757
19	6.44937e-05	7.12844e-05	562.757
20	7.12844e-05	7.86288e-05	376.212
21	7.86288e-05	8.65721e-05	376.212
22	8.65721e-05	9.51632e-05	247.644
23	9.51632e-05	0.000104455	247.644
24	0.000104455	0.000114504	159.272
25	0.000114504	0.000125373	159.272
26	0.000125373	0.000137129	100.157
27	0.000137129	0.000149843	100.157
28	0.000149843	0.000163594	61.9176
29	0.000163594	0.000178466	61.9176
30	0.000178466	0.000194551	37.7127
31	0.000194551	0.000211948	37.7127
32	0.000211948	0.000230763	22.627
33	0.000230763	0.000251113	22.627
34	0.000251113	0.000273122	13.3526
35	0.000273122	0.000296926	13.3526
36	0.000296926	0.000322672	7.60992
37	0.000322672	0.000350517	7.60992
38	0.000350517	0.000380633	5.32594
39	0.000380633	0.000413204	5.32594
40	0.000413204	0.000448432	5.32594
41	0.000448432	0.000486533	5.32594
42	0.000486533	0.000527741	5.32594
43	0.000527741	0.000572309	5.32594
44	0.000572309	0.000620512	5.32594
45	0.000620512	0.000672646	5.32594
46	0.000672646	0.000729031	5.32594
47	0.000729031	0.000790015	5.32594
48	0.000790015	0.000855972	5.32594
49	0.000855972	0.000927307	5.32594
50	0.000927307	0.00100446	5.32594
51	0.00100446	0.0010879	5.32594
52	0.0010879	0.00117815	5.32594
53	0.00117815	0.00127576	5.32594
54	0.00127576	0.00138133	5.32594
55	0.00138133	0.00149551	5.32594
56	0.00149551	0.001619	5.32594
57	0.001619	0.00175256	5.32594
58	0.00175256	0.00189701	5.32594
59	0.00189701	0.00205325	5.32594
60	0.00205325	0.00222222	5.32594
61	0.00222222	0.00240497	5.32594
62	0.00240497	0.00260263	5.32594
63	0.00260263	inf	5.32594
