time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.42752e-05	168.23
1	3.42752e-05	7.13456e-05	168.23
2	7.13456e-05	0.000111439	168.23
3	0.000111439	0.000154802	168.23
4	0.000154802	0.000201701	9.96997
5	0.000201701	0.000252425	9.96997
6	0.000252425	0.000307286	38.8537
7	0.000307286	0.00036662	38.8537
8	0.00036662	0.000430793	57.5585
9	0.000430793	0.000500199	57.5585
10	0.000500199	0.000575266	69.7237
11	0.000575266	0.000656454	69.7237
12	0.000656454	0.000744263	77.543
13	0.000744263	0.000839232	77.543
14	0.000839232	0.000941947	84.9325
15	0.000941947	0.00105304	84.9325
16	0.00105304	0.00117319	91.232
17	0.00117319	0.00130314	91.232
18	0.00130314	0.00144368	96.2272
19	0.00144368	0.00159569	96.2272
20	0.00159569	0.00176009	101.01
21	0.00176009	0.0019379	101.01
22	0.0019379	0.00213021	107.49
23	0.00213021	0.00233821	107.49
24	0.00233821	0.00256316	119.033
25	0.00256316	0.00280646	119.033
26	0.00280646	0.00306961	140.251
27	0.00306961	0.00335421	140.251
28	0.00335421	0.00366202	177.182
29	0.00366202	0.00399493	177.182
30	0.00399493	0.00435499	238.068
31	0.00435499	0.00474441	238.068
32	0.00474441	0.00516559	332.548
33	0.00516559	0.00562112	332.548
34	0.00562112	0.0061138	464.756
35	0.0061138	0.00664665	464.756
36	0.00664665	0.00722296	616.722
37	0.00722296	0.00784627	616.722
38	0.00784627	0.0085204	746.726
39	0.0085204	0.00924952	746.726
40	0.00924952	0.0100381	820.53
41	0.0100381	0.010891	820.53
42	0.010891	0.0118134	830.72
43	0.0118134	0.0128111	830.72
44	0.0128111	0.0138901	788.342
45	0.0138901	0.0150571	788.342
46	0.0150571	0.0163192	712.395
47	0.0163192	0.0176844	712.395
48	0.0176844	0.0191608	621.94
49	0.0191608	0.0207576	621.94
50	0.0207576	0.0224847	531.074
51	0.0224847	0.0243526	531.074
52	0.0243526	0.0263728	447.148
53	0.0263728	0.0285578	447.148
54	0.0285578	0.0309209	354.744
55	0.0309209	0.0334768	354.744
56	0.0334768	0.0362411	354.744
57	0.0362411	0.0392308	354.744
58	0.0392308	0.0424644	239.788
59	0.0424644	0.0459616	239.788
60	0.0459616	0.049744	239.788
61	0.049744	0.0538349	239.788
62	0.0538349	0.0582594	239.788
63	0.0582594	inf	239.788
