time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.90157e-06	887.241
1	5.90157e-06	1.22844e-05	887.241
2	1.22844e-05	1.91878e-05	887.241
3	1.91878e-05	2.66541e-05	887.241
4	2.66541e-05	3.47293e-05	540.293
5	3.47293e-05	4.34631e-05	540.293
6	4.34631e-05	5.29091e-05	585.946
7	5.29091e-05	6.31254e-05	585.946
8	6.31254e-05	7.41748e-05	630.036
9	7.41748e-05	8.61253e-05	630.036
10	8.61253e-05	9.90504e-05	691.772
11	9.90504e-05	0.000113029	691.772
12	0.000113029	0.000128149	775.012
13	0.000128149	0.000144501	775.012
14	0.000144501	0.000162186	862.406
15	0.000162186	0.000181314	862.406
16	0.000181314	0.000202002	951.485
17	0.000202002	0.000224377	951.485
18	0.000224377	0.000248576	1040.5
19	0.000248576	0.000274749	1040.5
20	0.000274749	0.000303056	1130.69
21	0.000303056	0.000333672	1130.69
22	0.000333672	0.000366784	1232.03
23	0.000366784	0.000402597	1232.03
24	0.000402597	0.00044133	1352.1
25	0.00044133	0.000483222	1352.1
26	0.000483222	0.000528531	1488.7
27	0.000528531	0.000577534	1488.7
28	0.000577534	0.000630533	1632.63
29	0.000630533	0.000687854	1632.63
30	0.000687854	0.00074985	1766.16
31	0.00074985	0.000816902	1766.16
32	0.000816902	0.000889422	1865.93
33	0.000889422	0.000967856	1865.93
34	0.000967856	0.00105269	1909.22
35	0.00105269	0.00114443	1909.22
36	0.00114443	0.00124366	1897.11
37	0.00124366	0.00135099	1897.11
38	0.00135099	0.00146706	1839.68
39	0.00146706	0.0015926	1839.68
40	0.0015926	0.00172838	1760.78
41	0.00172838	0.00187523	1760.78
42	0.00187523	0.00203405	1671.18
43	0.00203405	0.00220583	1671.18
44	0.00220583	0.00239162	1587.06
45	0.00239162	0.00259256	1587.06
46	0.00259256	0.00280988	1517.59
47	0.00280988	0.00304493	1517.59
48	0.00304493	0.00329914	1464.01
49	0.00329914	0.00357409	1464.01
50	0.00357409	0.00387145	1424.15
51	0.00387145	0.00419307	1424.15
52	0.00419307	0.00454092	1416.32
53	0.00454092	0.00491713	1416.32
54	0.00491713	0.00532402	1604.96
55	0.00532402	0.0057641	1604.96
56	0.0057641	0.00624006	1604.96
57	0.00624006	0.00675484	1604.96
58	0.00675484	0.00731159	1.38183
59	0.00731159	0.00791376	1.38183
60	0.00791376	0.00856502	1.38183
61	0.00856502	0.0092694	1.38183
62	0.0092694	0.0100312	1.38183
63	0.0100312	inf	1.38183
