time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.67083e-05	77.3852
1	2.67083e-05	5.55947e-05	77.3852
2	5.55947e-05	8.68368e-05	77.3852
3	8.68368e-05	0.000120627	77.3852
4	0.000120627	0.000157172	56.9227
5	0.000157172	0.000196698	56.9227
6	0.000196698	0.000239447	100.096
7	0.000239447	0.000285682	100.096
8	0.000285682	0.000335688	92.5282
9	0.000335688	0.000389771	92.5282
10	0.000389771	0.000448265	97.2884
11	0.000448265	0.00051153	97.2884
12	0.00051153	0.000579953	112.949
13	0.000579953	0.000653956	112.949
14	0.000653956	0.000733995	129.14
15	0.000733995	0.00082056	129.14
16	0.00082056	0.000914185	146.82
17	0.000914185	0.00101544	146.82
18	0.00101544	0.00112496	165.889
19	0.00112496	0.00124341	165.889
20	0.00124341	0.00137152	187.091
21	0.00137152	0.00151008	187.091
22	0.00151008	0.00165993	213.197
23	0.00165993	0.00182201	213.197
24	0.00182201	0.0019973	247.684
25	0.0019973	0.00218689	247.684
26	0.00218689	0.00239193	293.916
27	0.00239193	0.0026137	293.916
28	0.0026137	0.00285356	355.003
29	0.00285356	0.00311297	355.003
30	0.00311297	0.00339354	433.394
31	0.00339354	0.003697	433.394
32	0.003697	0.00402519	528.83
33	0.00402519	0.00438016	528.83
34	0.00438016	0.00476406	634.593
35	0.00476406	0.00517928	634.593
36	0.00517928	0.00562836	735.655
37	0.00562836	0.00611406	735.655
38	0.00611406	0.00663937	813.968
39	0.00663937	0.00720751	813.968
40	0.00720751	0.00782199	857.59
41	0.00782199	0.00848658	857.59
42	0.00848658	0.00920537	863.406
43	0.00920537	0.00998278	863.406
44	0.00998278	0.0108236	834.184
45	0.0108236	0.0117329	834.184
46	0.0117329	0.0127165	777.034
47	0.0127165	0.0137802	777.034
48	0.0137802	0.0149307	703.266
49	0.0149307	0.016175	703.266
50	0.016175	0.0175208	624.789
51	0.0175208	0.0189763	624.789
52	0.0189763	0.0205505	551.264
53	0.0205505	0.0222531	551.264
54	0.0222531	0.0240946	469.258
55	0.0240946	0.0260862	469.258
56	0.0260862	0.0282402	469.258
57	0.0282402	0.0305699	469.258
58	0.0305699	0.0330896	350.816
59	0.0330896	0.0358147	350.816
60	0.0358147	0.0387621	350.816
61	0.0387621	0.0419499	350.816
62	0.0419499	0.0453976	350.816
63	0.0453976	inf	350.816
