time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.70583e-06	2229.64
1	7.70583e-06	1.60401e-05	2229.64
2	1.60401e-05	2.5054e-05	2229.64
3	2.5054e-05	3.48029e-05	2229.64
4	3.48029e-05	4.5347e-05	2581.96
5	4.5347e-05	5.67508e-05	2581.96
6	5.67508e-05	6.90847e-05	791.285
7	6.90847e-05	8.24243e-05	791.285
8	8.24243e-05	9.68519e-05	449.869
9	9.68519e-05	0.000112456	449.869
10	0.000112456	0.000129333	382.128
11	0.000129333	0.000147585	382.128
12	0.000147585	0.000167327	411.176
13	0.000167327	0.000188678	411.176
14	0.000188678	0.000211771	495.181
15	0.000211771	0.000236746	495.181
16	0.000236746	0.000263759	607.33
17	0.000263759	0.000292974	607.33
18	0.000292974	0.000324572	745.795
19	0.000324572	0.000358746	745.795
20	0.000358746	0.000395708	918.438
21	0.000395708	0.000435684	918.438
22	0.000435684	0.000478919	1110.04
23	0.000478919	0.000525681	1110.04
24	0.000525681	0.000576256	1283.15
25	0.000576256	0.000630955	1283.15
26	0.000630955	0.000690115	1396.81
27	0.000690115	0.0007541	1396.81
28	0.0007541	0.000823303	1420.09
29	0.000823303	0.000898149	1420.09
30	0.000898149	0.000979098	1342.4
31	0.000979098	0.00106665	1342.4
32	0.00106665	0.00116134	1184.71
33	0.00116134	0.00126375	1184.71
34	0.00126375	0.00137452	990.414
35	0.00137452	0.00149432	990.414
36	0.00149432	0.00162388	803.562
37	0.00162388	0.00176401	803.562
38	0.00176401	0.00191558	655.727
39	0.00191558	0.0020795	655.727
40	0.0020795	0.00225678	563.309
41	0.00225678	0.00244853	563.309
42	0.00244853	0.00265591	527.981
43	0.00265591	0.00288021	527.981
44	0.00288021	0.0031228	543.92
45	0.0031228	0.00338516	543.92
46	0.00338516	0.00366893	599.788
47	0.00366893	0.00397584	599.788
48	0.00397584	0.00430777	677.114
49	0.00430777	0.00466677	677.114
50	0.00466677	0.00505505	734.92
51	0.00505505	0.005475	734.92
52	0.005475	0.00592919	703.63
53	0.00592919	0.00642042	703.63
54	0.00642042	0.00695171	361.173
55	0.00695171	0.00752632	361.173
56	0.00752632	0.0081478	361.173
57	0.0081478	0.00881996	361.173
58	0.00881996	0.00954693	1.05829
59	0.00954693	0.0103332	1.05829
60	0.0103332	0.0111836	1.05829
61	0.0111836	0.0121033	1.05829
62	0.0121033	0.013098	1.05829
63	0.013098	inf	1.05829
