time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.42627e-05	135.74
1	2.42627e-05	5.05039e-05	135.74
2	5.05039e-05	7.88851e-05	135.74
3	7.88851e-05	0.000109581	135.74
4	0.000109581	0.00014278	78.0436
5	0.00014278	0.000178686	78.0436
6	0.000178686	0.000217521	102.36
7	0.000217521	0.000259522	102.36
8	0.000259522	0.000304949	149.236
9	0.000304949	0.00035408	149.236
10	0.00035408	0.000407218	195.739
11	0.000407218	0.000464689	195.739
12	0.000464689	0.000526847	242.741
13	0.000526847	0.000594073	242.741
14	0.000594073	0.000666783	266.667
15	0.000666783	0.000745421	266.667
16	0.000745421	0.000830473	265.968
17	0.000830473	0.00092246	265.968
18	0.00092246	0.00102195	252.428
19	0.00102195	0.00112955	252.428
20	0.00112955	0.00124593	234.871
21	0.00124593	0.0013718	234.871
22	0.0013718	0.00150793	223.196
23	0.00150793	0.00165516	223.196
24	0.00165516	0.0018144	222.302
25	0.0018144	0.00198663	222.302
26	0.00198663	0.0021729	235.7
27	0.0021729	0.00237437	235.7
28	0.00237437	0.00259226	268.97
29	0.00259226	0.00282792	268.97
30	0.00282792	0.0030828	330.361
31	0.0030828	0.00335846	330.361
32	0.00335846	0.00365661	430.883
33	0.00365661	0.00397906	430.883
34	0.00397906	0.00432782	580.107
35	0.00432782	0.00470501	580.107
36	0.00470501	0.00511297	771.753
37	0.00511297	0.00555419	771.753
38	0.00555419	0.0060314	969.981
39	0.0060314	0.00654752	969.981
40	0.00654752	0.00710573	1126.95
41	0.00710573	0.00770947	1126.95
42	0.00770947	0.00836243	1210.86
43	0.00836243	0.00906865	1210.86
44	0.00906865	0.00983246	1218.39
45	0.00983246	0.0106586	1218.39
46	0.0106586	0.011552	1164.94
47	0.011552	0.0125184	1164.94
48	0.0125184	0.0135635	1065.51
49	0.0135635	0.0146938	1065.51
50	0.0146938	0.0159164	933.41
51	0.0159164	0.0172386	933.41
52	0.0172386	0.0186687	791.252
53	0.0186687	0.0202154	791.252
54	0.0202154	0.0218882	627.971
55	0.0218882	0.0236975	627.971
56	0.0236975	0.0256542	627.971
57	0.0256542	0.0277706	627.971
58	0.0277706	0.0300595	429.594
59	0.0300595	0.0325352	429.594
60	0.0325352	0.0352127	429.594
61	0.0352127	0.0381085	429.594
62	0.0381085	0.0412405	429.594
63	0.0412405	inf	429.594
