time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.09161e-05	782.484
1	1.09161e-05	2.27223e-05	782.484
2	2.27223e-05	3.54914e-05	782.484
3	3.54914e-05	4.93017e-05	782.484
4	4.93017e-05	6.42383e-05	1022.1
5	6.42383e-05	8.0393e-05	1022.1
6	8.0393e-05	9.78651e-05	960.89
7	9.78651e-05	0.000116762	960.89
8	0.000116762	0.0001372	876.439
9	0.0001372	0.000159305	876.439
10	0.000159305	0.000183212	796.911
11	0.000183212	0.000209069	796.911
12	0.000209069	0.000237035	739.636
13	0.000237035	0.000267281	739.636
14	0.000267281	0.000299993	704.01
15	0.000299993	0.000335374	704.01
16	0.000335374	0.00037364	675.689
17	0.00037364	0.000415026	675.689
18	0.000415026	0.000459787	650.794
19	0.000459787	0.000508199	650.794
20	0.000508199	0.000560558	633.48
21	0.000560558	0.000617188	633.48
22	0.000617188	0.000678435	623.38
23	0.000678435	0.000744678	623.38
24	0.000744678	0.000816322	619.574
25	0.000816322	0.000893809	619.574
26	0.000893809	0.000977615	621.965
27	0.000977615	0.00106826	621.965
28	0.00106826	0.00116629	629.826
29	0.00116629	0.00127231	629.826
30	0.00127231	0.00138699	641.891
31	0.00138699	0.00151101	641.891
32	0.00151101	0.00164515	657.016
33	0.00164515	0.00179023	657.016
34	0.00179023	0.00194714	673.364
35	0.00194714	0.00211684	673.364
36	0.00211684	0.00230039	691.075
37	0.00230039	0.0024989	691.075
38	0.0024989	0.0027136	708.282
39	0.0027136	0.00294581	708.282
40	0.00294581	0.00319695	723.796
41	0.00319695	0.00346858	723.796
42	0.00346858	0.00376236	739.2
43	0.00376236	0.00408009	739.2
44	0.00408009	0.00442374	755.721
45	0.00442374	0.00479541	755.721
46	0.00479541	0.00519739	773.68
47	0.00519739	0.00563215	773.68
48	0.00563215	0.00610237	787.351
49	0.00610237	0.00661093	787.351
50	0.00661093	0.00716097	787.658
51	0.00716097	0.00775586	787.658
52	0.00775586	0.00839927	771.856
53	0.00839927	0.00909514	771.856
54	0.00909514	0.00984777	728.114
55	0.00984777	0.0106618	728.114
56	0.0106618	0.0115421	728.114
57	0.0115421	0.0124943	728.114
58	0.0124943	0.0135241	489.235
59	0.0135241	0.014638	489.235
60	0.014638	0.0158426	489.235
61	0.0158426	0.0171455	489.235
62	0.0171455	0.0185546	489.235
63	0.0185546	inf	489.235
