time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.40875e-05	366.579
1	1.40875e-05	2.93238e-05	366.579
2	2.93238e-05	4.58026e-05	366.579
3	4.58026e-05	6.36253e-05	366.579
4	6.36253e-05	8.29014e-05	435.151
5	8.29014e-05	0.00010375	435.151
6	0.00010375	0.000126298	629.728
7	0.000126298	0.000150685	629.728
8	0.000150685	0.000177061	630.513
9	0.000177061	0.000205587	630.513
10	0.000205587	0.00023644	698.572
11	0.00023644	0.00026981	698.572
12	0.00026981	0.0003059	698.897
13	0.0003059	0.000344934	698.897
14	0.000344934	0.00038715	683.885
15	0.00038715	0.00043281	683.885
16	0.00043281	0.000482193	629.665
17	0.000482193	0.000535603	629.665
18	0.000535603	0.000593369	560.549
19	0.000593369	0.000655845	560.549
20	0.000655845	0.000723417	540.03
21	0.000723417	0.000796499	540.03
22	0.000796499	0.000875541	532.268
23	0.000875541	0.000961028	532.268
24	0.000961028	0.00105349	495.334
25	0.00105349	0.00115349	495.334
26	0.00115349	0.00126164	444.806
27	0.00126164	0.00137861	444.806
28	0.00137861	0.00150513	409.963
29	0.00150513	0.00164196	409.963
30	0.00164196	0.00178995	404.364
31	0.00178995	0.00195	404.364
32	0.00195	0.00212311	427.713
33	0.00212311	0.00231034	427.713
34	0.00231034	0.00251284	469.506
35	0.00251284	0.00273185	469.506
36	0.00273185	0.00296871	506.383
37	0.00296871	0.0032249	506.383
38	0.0032249	0.00350198	530.697
39	0.00350198	0.00380165	530.697
40	0.00380165	0.00412576	584.006
41	0.00412576	0.0044763	584.006
42	0.0044763	0.00485543	718.92
43	0.00485543	0.00526548	718.92
44	0.00526548	0.00570897	928.463
45	0.00570897	0.00618862	928.463
46	0.00618862	0.00670739	1135.6
47	0.00670739	0.00726846	1135.6
48	0.00726846	0.00787529	1262.43
49	0.00787529	0.0085316	1262.43
50	0.0085316	0.00924144	1265.26
51	0.00924144	0.0100092	1265.26
52	0.0100092	0.0108395	1160.36
53	0.0108395	0.0117375	1160.36
54	0.0117375	0.0127088	970.849
55	0.0127088	0.0137593	970.849
56	0.0137593	0.0148955	970.849
57	0.0148955	0.0161243	970.849
58	0.0161243	0.0174533	724.418
59	0.0174533	0.0188907	724.418
60	0.0188907	0.0204453	724.418
61	0.0204453	0.0221267	724.418
62	0.0221267	0.0239452	724.418
63	0.0239452	inf	724.418
