time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.46303e-06	1575.5
1	9.46303e-06	1.96978e-05	1575.5
2	1.96978e-05	3.07671e-05	1575.5
3	3.07671e-05	4.27392e-05	1575.5
4	4.27392e-05	5.56876e-05	3319.48
5	5.56876e-05	6.9692e-05	3319.48
6	6.9692e-05	8.48384e-05	2827.34
7	8.48384e-05	0.00010122	2827.34
8	0.00010122	0.000118937	3067.02
9	0.000118937	0.0001381	3067.02
10	0.0001381	0.000158825	2816.56
11	0.000158825	0.00018124	2816.56
12	0.00018124	0.000205483	1865
13	0.000205483	0.000231703	1865
14	0.000231703	0.000260062	1017.67
15	0.000260062	0.000290733	1017.67
16	0.000290733	0.000323905	624.656
17	0.000323905	0.000359782	624.656
18	0.000359782	0.000398585	479.798
19	0.000398585	0.000440553	479.798
20	0.000440553	0.000485943	432.925
21	0.000485943	0.000535035	432.925
22	0.000535035	0.00058813	410.795
23	0.00058813	0.000645554	410.795
24	0.000645554	0.000707662	384.825
25	0.000707662	0.000774835	384.825
26	0.000774835	0.000847486	354.885
27	0.000847486	0.000926061	354.885
28	0.000926061	0.00101104	331.28
29	0.00101104	0.00110296	331.28
30	0.00110296	0.00120237	314.586
31	0.00120237	0.00130988	314.586
32	0.00130988	0.00142617	301.44
33	0.00142617	0.00155193	301.44
34	0.00155193	0.00168796	293.813
35	0.00168796	0.00183507	293.813
36	0.00183507	0.00199418	299.337
37	0.00199418	0.00216627	299.337
38	0.00216627	0.00235239	327.959
39	0.00235239	0.00255369	327.959
40	0.00255369	0.00277141	392.143
41	0.00277141	0.00300688	392.143
42	0.00300688	0.00326155	504.393
43	0.00326155	0.003537	504.393
44	0.003537	0.0038349	672.632
45	0.0038349	0.0041571	672.632
46	0.0041571	0.00450557	883.321
47	0.00450557	0.00488246	883.321
48	0.00488246	0.00529009	1093.35
49	0.00529009	0.00573096	1093.35
50	0.00573096	0.00620778	1250.45
51	0.00620778	0.00672349	1250.45
52	0.00672349	0.00728125	1327.45
53	0.00728125	0.0078845	1327.45
54	0.0078845	0.00853694	1304.94
55	0.00853694	0.00924259	1304.94
56	0.00924259	0.0100058	1304.94
57	0.0100058	0.0108312	1304.94
58	0.0108312	0.011724	1073.88
59	0.011724	0.0126895	1073.88
60	0.0126895	0.0137338	1073.88
61	0.0137338	0.0148632	1073.88
62	0.0148632	0.0160848	1073.88
63	0.0160848	inf	1073.88
