time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.57262e-05	357.494
1	1.57262e-05	3.27348e-05	357.494
2	3.27348e-05	5.11305e-05	357.494
3	5.11305e-05	7.10263e-05	357.494
4	7.10263e-05	9.25447e-05	29.9377
5	9.25447e-05	0.000115818	29.9377
6	0.000115818	0.000140989	70.4981
7	0.000140989	0.000168213	70.4981
8	0.000168213	0.000197657	97.5704
9	0.000197657	0.000229502	97.5704
10	0.000229502	0.000263944	135.385
11	0.000263944	0.000301194	135.385
12	0.000301194	0.000341483	151.216
13	0.000341483	0.000385057	151.216
14	0.000385057	0.000432184	163.457
15	0.000432184	0.000483155	163.457
16	0.000483155	0.000538282	181.347
17	0.000538282	0.000597905	181.347
18	0.000597905	0.00066239	211.797
19	0.00066239	0.000732134	211.797
20	0.000732134	0.000807566	260.779
21	0.000807566	0.000889149	260.779
22	0.000889149	0.000977385	329.986
23	0.000977385	0.00107282	329.986
24	0.00107282	0.00117603	419.749
25	0.00117603	0.00128766	419.749
26	0.00128766	0.0014084	529.169
27	0.0014084	0.00153898	529.169
28	0.00153898	0.00168021	658.426
29	0.00168021	0.00183295	658.426
30	0.00183295	0.00199816	808.388
31	0.00199816	0.00217683	808.388
32	0.00217683	0.00237008	974.749
33	0.00237008	0.00257908	974.749
34	0.00257908	0.00280513	1142.54
35	0.00280513	0.00304962	1142.54
36	0.00304962	0.00331404	1293.19
37	0.00331404	0.00360003	1293.19
38	0.00360003	0.00390933	1419.08
39	0.00390933	0.00424386	1419.08
40	0.00424386	0.00460568	1523.86
41	0.00460568	0.00499699	1523.86
42	0.00499699	0.00542022	1607.11
43	0.00542022	0.00587797	1607.11
44	0.00587797	0.00637304	1612.83
45	0.00637304	0.00690849	1612.83
46	0.00690849	0.0074876	1299.2
47	0.0074876	0.00811394	1299.2
48	0.00811394	0.00879135	495.058
49	0.00879135	0.00952401	495.058
50	0.00952401	0.0103164	74.8226
51	0.0103164	0.0111734	74.8226
52	0.0111734	0.0121004	12.2169
53	0.0121004	0.0131029	12.2169
54	0.0131029	0.0141871	3.75258
55	0.0141871	0.0153598	3.75258
56	0.0153598	0.0166281	3.75258
57	0.0166281	0.0179999	3.75258
58	0.0179999	0.0194835	15.0319
59	0.0194835	0.0210881	15.0319
60	0.0210881	0.0228236	15.0319
61	0.0228236	0.0247005	15.0319
62	0.0247005	0.0267306	15.0319
63	0.0267306	inf	15.0319
