time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.65215e-05	721.179
1	1.65215e-05	3.43903e-05	721.179
2	3.43903e-05	5.37162e-05	721.179
3	5.37162e-05	7.46183e-05	721.179
4	7.46183e-05	9.72248e-05	303.58
5	9.72248e-05	0.000121675	303.58
6	0.000121675	0.000148119	296.512
7	0.000148119	0.00017672	296.512
8	0.00017672	0.000207652	351.491
9	0.000207652	0.000241108	351.491
10	0.000241108	0.000277292	461.207
11	0.000277292	0.000316426	461.207
12	0.000316426	0.000358752	610.488
13	0.000358752	0.00040453	610.488
14	0.00040453	0.000454041	740.152
15	0.000454041	0.000507589	740.152
16	0.000507589	0.000565504	799.392
17	0.000565504	0.000628142	799.392
18	0.000628142	0.000695889	775.278
19	0.000695889	0.00076916	775.278
20	0.00076916	0.000848406	690.24
21	0.000848406	0.000934115	690.24
22	0.000934115	0.00102681	583.521
23	0.00102681	0.00112707	583.521
24	0.00112707	0.00123551	485.409
25	0.00123551	0.00135278	485.409
26	0.00135278	0.00147962	405.327
27	0.00147962	0.00161681	405.327
28	0.00161681	0.00176518	342.089
29	0.00176518	0.00192565	342.089
30	0.00192565	0.00209921	294.21
31	0.00209921	0.00228692	294.21
32	0.00228692	0.00248994	262.485
33	0.00248994	0.00270951	262.485
34	0.00270951	0.002947	248.913
35	0.002947	0.00320384	248.913
36	0.00320384	0.00348164	255.789
37	0.00348164	0.00378209	255.789
38	0.00378209	0.00410704	286.911
39	0.00410704	0.00445849	286.911
40	0.00445849	0.0048386	346.111
41	0.0048386	0.0052497	346.111
42	0.0052497	0.00569434	435.737
43	0.00569434	0.00617523	435.737
44	0.00617523	0.00669534	549.498
45	0.00669534	0.00725786	549.498
46	0.00725786	0.00786626	667.6
47	0.00786626	0.00852428	667.6
48	0.00852428	0.00923595	762.711
49	0.00923595	0.0100057	762.711
50	0.0100057	0.0108381	816.674
51	0.0108381	0.0117385	816.674
52	0.0117385	0.0127123	825.663
53	0.0127123	0.0137655	825.663
54	0.0137655	0.0149046	774.928
55	0.0149046	0.0161366	774.928
56	0.0161366	0.0174691	774.928
57	0.0174691	0.0189102	774.928
58	0.0189102	0.0204688	614.327
59	0.0204688	0.0221546	614.327
60	0.0221546	0.0239778	614.327
61	0.0239778	0.0259497	614.327
62	0.0259497	0.0280824	614.327
63	0.0280824	inf	614.327
