time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.11726e-05	1107.54
1	1.11726e-05	2.32564e-05	1107.54
2	2.32564e-05	3.63255e-05	1107.54
3	3.63255e-05	5.04605e-05	1107.54
4	5.04605e-05	6.57482e-05	327.726
5	6.57482e-05	8.22826e-05	327.726
6	8.22826e-05	0.000100165	376.029
7	0.000100165	0.000119506	376.029
8	0.000119506	0.000140425	334.935
9	0.000140425	0.000163049	334.935
10	0.000163049	0.000187518	294.085
11	0.000187518	0.000213983	294.085
12	0.000213983	0.000242606	321.687
13	0.000242606	0.000273563	321.687
14	0.000273563	0.000307044	395.843
15	0.000307044	0.000343256	395.843
16	0.000343256	0.000382422	493.103
17	0.000382422	0.000424781	493.103
18	0.000424781	0.000470594	587.635
19	0.000470594	0.000520143	587.635
20	0.000520143	0.000573734	667.679
21	0.000573734	0.000631694	667.679
22	0.000631694	0.000694381	731.564
23	0.000694381	0.000762181	731.564
24	0.000762181	0.000835509	778.02
25	0.000835509	0.000914817	778.02
26	0.000914817	0.00100059	803.982
27	0.00100059	0.00109336	803.982
28	0.00109336	0.0011937	808.073
29	0.0011937	0.00130222	808.073
30	0.00130222	0.00141959	791.241
31	0.00141959	0.00154653	791.241
32	0.00154653	0.00168382	767.098
33	0.00168382	0.00183231	767.098
34	0.00183231	0.0019929	756.932
35	0.0019929	0.0021666	756.932
36	0.0021666	0.00235445	776.749
37	0.00235445	0.00255763	776.749
38	0.00255763	0.00277738	830.481
39	0.00277738	0.00301505	830.481
40	0.00301505	0.00327209	911
41	0.00327209	0.00355011	911
42	0.00355011	0.00385079	1006.71
43	0.00385079	0.00417599	1006.71
44	0.00417599	0.00452772	1103.74
45	0.00452772	0.00490812	1103.74
46	0.00490812	0.00531955	1187.22
47	0.00531955	0.00576453	1187.22
48	0.00576453	0.0062458	1238.64
49	0.0062458	0.00676632	1238.64
50	0.00676632	0.00732928	1247.48
51	0.00732928	0.00793816	1247.48
52	0.00793816	0.00859668	1218.81
53	0.00859668	0.00930891	1218.81
54	0.00930891	0.0100792	1133.12
55	0.0100792	0.0109124	1133.12
56	0.0109124	0.0118134	1133.12
57	0.0118134	0.012788	1133.12
58	0.012788	0.013842	917.491
59	0.013842	0.014982	917.491
60	0.014982	0.016215	917.491
61	0.016215	0.0175485	917.491
62	0.0175485	0.0189907	917.491
63	0.0189907	inf	917.491
