time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.73375e-05	500.331
1	1.73375e-05	3.60889e-05	500.331
2	3.60889e-05	5.63694e-05	500.331
3	5.63694e-05	7.83038e-05	500.331
4	7.83038e-05	0.000102027	420.661
5	0.000102027	0.000127685	420.661
6	0.000127685	0.000155435	276.935
7	0.000155435	0.000185448	276.935
8	0.000185448	0.000217909	205.109
9	0.000217909	0.000253017	205.109
10	0.000253017	0.000290988	182.416
11	0.000290988	0.000332055	182.416
12	0.000332055	0.000376472	203.816
13	0.000376472	0.00042451	203.816
14	0.00042451	0.000476466	264.407
15	0.000476466	0.00053266	264.407
16	0.00053266	0.000593435	353.478
17	0.000593435	0.000659168	353.478
18	0.000659168	0.00073026	445.015
19	0.00073026	0.00080715	445.015
20	0.00080715	0.00089031	504.914
21	0.00089031	0.000980253	504.914
22	0.000980253	0.00107753	515.969
23	0.00107753	0.00118274	515.969
24	0.00118274	0.00129653	491.103
25	0.00129653	0.0014196	491.103
26	0.0014196	0.0015527	456.948
27	0.0015527	0.00169666	456.948
28	0.00169666	0.00185236	433.88
29	0.00185236	0.00202076	433.88
30	0.00202076	0.00220289	431.704
31	0.00220289	0.00239987	431.704
32	0.00239987	0.00261292	453.611
33	0.00261292	0.00284334	453.611
34	0.00284334	0.00309255	504.875
35	0.00309255	0.00336209	504.875
36	0.00336209	0.0036536	585.235
37	0.0036536	0.00396889	585.235
38	0.00396889	0.00430989	696.348
39	0.00430989	0.0046787	696.348
40	0.0046787	0.00507758	832.396
41	0.00507758	0.00550899	832.396
42	0.00550899	0.00597559	976.796
43	0.00597559	0.00648023	976.796
44	0.00648023	0.00702603	1098.98
45	0.00702603	0.00761634	1098.98
46	0.00761634	0.00825479	1186.32
47	0.00825479	0.00894531	1186.32
48	0.00894531	0.00969213	1221.36
49	0.00969213	0.0104999	1221.36
50	0.0104999	0.0113735	1207.53
51	0.0113735	0.0123183	1207.53
52	0.0123183	0.0133402	1154.62
53	0.0133402	0.0144454	1154.62
54	0.0144454	0.0156408	1042.5
55	0.0156408	0.0169336	1042.5
56	0.0169336	0.0183319	1042.5
57	0.0183319	0.0198442	1042.5
58	0.0198442	0.0214798	818.13
59	0.0214798	0.0232488	818.13
60	0.0232488	0.0251621	818.13
61	0.0251621	0.0272314	818.13
62	0.0272314	0.0294694	818.13
63	0.0294694	inf	818.13
