time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.33174e-06	13691.9
1	2.33174e-06	4.85363e-06	13691.9
2	4.85363e-06	7.58118e-06	13691.9
3	7.58118e-06	1.05312e-05	13691.9
4	1.05312e-05	1.37217e-05	705.979
5	1.37217e-05	1.71724e-05	705.979
6	1.71724e-05	2.09046e-05	766.301
7	2.09046e-05	2.49411e-05	766.301
8	2.49411e-05	2.93068e-05	1002.45
9	2.93068e-05	3.40285e-05	1002.45
10	3.40285e-05	3.91352e-05	1415.41
11	3.91352e-05	4.46584e-05	1415.41
12	4.46584e-05	5.0632e-05	1836.58
13	5.0632e-05	5.70928e-05	1836.58
14	5.70928e-05	6.40805e-05	2093.87
15	6.40805e-05	7.16379e-05	2093.87
16	7.16379e-05	7.98117e-05	2152.83
17	7.98117e-05	8.86521e-05	2152.83
18	8.86521e-05	9.82134e-05	2129.11
19	9.82134e-05	0.000108554	2129.11
20	0.000108554	0.000119739	2140.32
21	0.000119739	0.000131835	2140.32
22	0.000131835	0.000144918	2235.13
23	0.000144918	0.000159068	2235.13
24	0.000159068	0.000174371	2433.37
25	0.000174371	0.000190923	2433.37
26	0.000190923	0.000208825	2737.67
27	0.000208825	0.000228186	2737.67
28	0.000228186	0.000249126	3124.97
29	0.000249126	0.000271774	3124.97
30	0.000271774	0.000296269	3560.01
31	0.000296269	0.000322761	3560.01
32	0.000322761	0.000351414	4013.24
33	0.000351414	0.000382404	4013.24
34	0.000382404	0.000415921	4413.91
35	0.000415921	0.00045217	4413.91
36	0.00045217	0.000491377	4724.06
37	0.000491377	0.00053378	4724.06
38	0.00053378	0.000579641	4913.79
39	0.000579641	0.000629243	4913.79
40	0.000629243	0.000682889	4935.35
41	0.000682889	0.00074091	4935.35
42	0.00074091	0.000803663	4695.04
43	0.000803663	0.000871533	4695.04
44	0.000871533	0.000944938	3972.06
45	0.000944938	0.00102433	3972.06
46	0.00102433	0.0011102	2387.58
47	0.0011102	0.00120306	2387.58
48	0.00120306	0.0013035	827.269
49	0.0013035	0.00141214	827.269
50	0.00141214	0.00152963	226.987
51	0.00152963	0.0016567	226.987
52	0.0016567	0.00179414	93.0736
53	0.00179414	0.00194278	93.0736
54	0.00194278	0.00210354	863.23
55	0.00210354	0.00227742	863.23
56	0.00227742	0.00246547	863.23
57	0.00246547	0.00266886	863.23
58	0.00266886	0.00288884	3.49738
59	0.00288884	0.00312676	3.49738
60	0.00312676	0.00338408	3.49738
61	0.00338408	0.00366238	3.49738
62	0.00366238	0.00396338	3.49738
63	0.00396338	inf	3.49738
