time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.51215e-05	296.037
1	1.51215e-05	3.14762e-05	296.037
2	3.14762e-05	4.91646e-05	296.037
3	4.91646e-05	6.82955e-05	296.037
4	6.82955e-05	8.89865e-05	270.4
5	8.89865e-05	0.000111365	270.4
6	0.000111365	0.000135568	286.112
7	0.000135568	0.000161745	286.112
8	0.000161745	0.000190057	311.652
9	0.000190057	0.000220678	311.652
10	0.000220678	0.000253795	325.863
11	0.000253795	0.000289614	325.863
12	0.000289614	0.000328353	373.611
13	0.000328353	0.000370252	373.611
14	0.000370252	0.000415567	436.301
15	0.000415567	0.000464578	436.301
16	0.000464578	0.000517586	468.366
17	0.000517586	0.000574917	468.366
18	0.000574917	0.000636923	467.354
19	0.000636923	0.000703985	467.354
20	0.000703985	0.000776516	452.863
21	0.000776516	0.000854963	452.863
22	0.000854963	0.000939806	441.119
23	0.000939806	0.00103157	441.119
24	0.00103157	0.00113081	440.33
25	0.00113081	0.00123815	440.33
26	0.00123815	0.00135425	452.537
27	0.00135425	0.00147981	452.537
28	0.00147981	0.00161561	480.251
29	0.00161561	0.00176248	480.251
30	0.00176248	0.00192133	526.961
31	0.00192133	0.00209314	526.961
32	0.00209314	0.00227895	596.228
33	0.00227895	0.00247992	596.228
34	0.00247992	0.00269728	690.979
35	0.00269728	0.00293237	690.979
36	0.00293237	0.00318662	809.471
37	0.00318662	0.00346161	809.471
38	0.00346161	0.00375903	938.282
39	0.00375903	0.00408069	938.282
40	0.00408069	0.0044286	1054.86
41	0.0044286	0.00480487	1054.86
42	0.00480487	0.00521183	1136.12
43	0.00521183	0.00565197	1136.12
44	0.00565197	0.00612801	1174.83
45	0.00612801	0.00664287	1174.83
46	0.00664287	0.00719971	1173.63
47	0.00719971	0.00780197	1173.63
48	0.00780197	0.00845334	1139.46
49	0.00845334	0.00915783	1139.46
50	0.00915783	0.00991977	1083.78
51	0.00991977	0.0107438	1083.78
52	0.0107438	0.0116351	1017.32
53	0.0116351	0.0125991	1017.32
54	0.0125991	0.0136417	901.059
55	0.0136417	0.0147693	901.059
56	0.0147693	0.0159888	901.059
57	0.0159888	0.0173078	901.059
58	0.0173078	0.0187344	672.537
59	0.0187344	0.0202773	672.537
60	0.0202773	0.021946	672.537
61	0.021946	0.0237508	672.537
62	0.0237508	0.0257028	672.537
63	0.0257028	inf	672.537
