time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.11106e-05	505.841
1	1.11106e-05	2.31273e-05	505.841
2	2.31273e-05	3.61239e-05	505.841
3	3.61239e-05	5.01805e-05	505.841
4	5.01805e-05	6.53833e-05	267.655
5	6.53833e-05	8.18259e-05	267.655
6	8.18259e-05	9.96094e-05	336.295
7	9.96094e-05	0.000118843	336.295
8	0.000118843	0.000139645	395.802
9	0.000139645	0.000162144	395.802
10	0.000162144	0.000186477	456.667
11	0.000186477	0.000212795	456.667
12	0.000212795	0.000241259	489.768
13	0.000241259	0.000272045	489.768
14	0.000272045	0.00030534	508.68
15	0.00030534	0.000341351	508.68
16	0.000341351	0.000380299	514.243
17	0.000380299	0.000422423	514.243
18	0.000422423	0.000467982	516.32
19	0.000467982	0.000517257	516.32
20	0.000517257	0.00057055	532.416
21	0.00057055	0.000628188	532.416
22	0.000628188	0.000690528	573.461
23	0.000690528	0.000757951	573.461
24	0.000757951	0.000830872	642.24
25	0.000830872	0.00090974	642.24
26	0.00090974	0.00099504	733.616
27	0.00099504	0.0010873	733.616
28	0.0010873	0.00118707	836.722
29	0.00118707	0.00129499	836.722
30	0.00129499	0.00141171	932.584
31	0.00141171	0.00153794	932.584
32	0.00153794	0.00167447	1000.4
33	0.00167447	0.00182214	1000.4
34	0.00182214	0.00198184	1027.95
35	0.00198184	0.00215457	1027.95
36	0.00215457	0.00234139	1015.02
37	0.00234139	0.00254344	1015.02
38	0.00254344	0.00276196	976.385
39	0.00276196	0.00299831	976.385
40	0.00299831	0.00325393	929.445
41	0.00325393	0.0035304	929.445
42	0.0035304	0.00382942	892.245
43	0.00382942	0.00415282	892.245
44	0.00415282	0.00450259	875.993
45	0.00450259	0.00488088	875.993
46	0.00488088	0.00529003	883.708
47	0.00529003	0.00573254	883.708
48	0.00573254	0.00621114	906.471
49	0.00621114	0.00672877	906.471
50	0.00672877	0.00728861	924.609
51	0.00728861	0.0078941	924.609
52	0.0078941	0.00854897	927.121
53	0.00854897	0.00925725	927.121
54	0.00925725	0.0100233	907.074
55	0.0100233	0.0108518	907.074
56	0.0108518	0.0117479	907.074
57	0.0117479	0.012717	907.074
58	0.012717	0.0137652	790.286
59	0.0137652	0.0148989	790.286
60	0.0148989	0.016125	790.286
61	0.016125	0.0174511	790.286
62	0.0174511	0.0188853	790.286
63	0.0188853	inf	790.286
