time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.7894e-05	170.31
1	1.7894e-05	3.72472e-05	170.31
2	3.72472e-05	5.81788e-05	170.31
3	5.81788e-05	8.08172e-05	170.31
4	8.08172e-05	0.000105302	78.5125
5	0.000105302	0.000131783	78.5125
6	0.000131783	0.000160424	99.0232
7	0.000160424	0.000191401	99.0232
8	0.000191401	0.000224903	123.359
9	0.000224903	0.000261138	123.359
10	0.000261138	0.000300328	146.63
11	0.000300328	0.000342714	146.63
12	0.000342714	0.000388556	159.082
13	0.000388556	0.000438136	159.082
14	0.000438136	0.00049176	172.952
15	0.00049176	0.000549757	172.952
16	0.000549757	0.000612484	190.654
17	0.000612484	0.000680326	190.654
18	0.000680326	0.0007537	219.236
19	0.0007537	0.000833058	219.236
20	0.000833058	0.000918888	261.93
21	0.000918888	0.00101172	261.93
22	0.00101172	0.00111212	318.459
23	0.00111212	0.0012207	318.459
24	0.0012207	0.00133815	387.451
25	0.00133815	0.00146516	387.451
26	0.00146516	0.00160254	468.436
27	0.00160254	0.00175112	468.436
28	0.00175112	0.00191182	561.222
29	0.00191182	0.00208562	561.222
30	0.00208562	0.0022736	663.428
31	0.0022736	0.00247691	663.428
32	0.00247691	0.00269679	775.343
33	0.00269679	0.00293461	775.343
34	0.00293461	0.00319182	893.789
35	0.00319182	0.00347	893.789
36	0.00347	0.00377088	1019.17
37	0.00377088	0.00409628	1019.17
38	0.00409628	0.00444823	1146.26
39	0.00444823	0.00482888	1146.26
40	0.00482888	0.00524056	1248.78
41	0.00524056	0.00568582	1248.78
42	0.00568582	0.0061674	1314.56
43	0.0061674	0.00668824	1314.56
44	0.00668824	0.00725156	1330.64
45	0.00725156	0.00786082	1330.64
46	0.00786082	0.00851976	1298.96
47	0.00851976	0.00923244	1298.96
48	0.00923244	0.0100032	1221.01
49	0.0100032	0.0108369	1221.01
50	0.0108369	0.0117385	1102.38
51	0.0117385	0.0127137	1102.38
52	0.0127137	0.0137684	961.738
53	0.0137684	0.0149091	961.738
54	0.0149091	0.0161428	787.056
55	0.0161428	0.0174772	787.056
56	0.0174772	0.0189203	787.056
57	0.0189203	0.0204812	787.056
58	0.0204812	0.0221693	566.259
59	0.0221693	0.0239951	566.259
60	0.0239951	0.0259698	566.259
61	0.0259698	0.0281055	566.259
62	0.0281055	0.0304154	566.259
63	0.0304154	inf	566.259
