time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.97391e-06	1842.79
1	4.97391e-06	1.03534e-05	1842.79
2	1.03534e-05	1.61717e-05	1842.79
3	1.61717e-05	2.24644e-05	1842.79
4	2.24644e-05	2.92702e-05	3802.79
5	2.92702e-05	3.66311e-05	3802.79
6	3.66311e-05	4.45923e-05	2097.91
7	4.45923e-05	5.32027e-05	2097.91
8	5.32027e-05	6.25153e-05	1227.88
9	6.25153e-05	7.25873e-05	1227.88
10	7.25873e-05	8.34807e-05	846.114
11	8.34807e-05	9.52624e-05	846.114
12	9.52624e-05	0.000108005	651.314
13	0.000108005	0.000121787	651.314
14	0.000121787	0.000136692	550.641
15	0.000136692	0.000152813	550.641
16	0.000152813	0.000170249	475.168
17	0.000170249	0.000189107	475.168
18	0.000189107	0.000209502	444.065
19	0.000209502	0.000231561	444.065
20	0.000231561	0.000255419	487.371
21	0.000255419	0.000281222	487.371
22	0.000281222	0.00030913	634.268
23	0.00030913	0.000339313	634.268
24	0.000339313	0.000371958	917.685
25	0.000371958	0.000407265	917.685
26	0.000407265	0.000445451	1363.73
27	0.000445451	0.000486751	1363.73
28	0.000486751	0.00053142	1945.31
29	0.00053142	0.000579731	1945.31
30	0.000579731	0.000631982	2553.83
31	0.000631982	0.000688493	2553.83
32	0.000688493	0.000749614	3019.43
33	0.000749614	0.000815719	3019.43
34	0.000815719	0.000887214	3220.64
35	0.000887214	0.00096454	3220.64
36	0.00096454	0.00104817	3121
37	0.00104817	0.00113862	3121
38	0.00113862	0.00123645	2763.74
39	0.00123645	0.00134226	2763.74
40	0.00134226	0.00145669	2238.66
41	0.00145669	0.00158046	2238.66
42	0.00158046	0.00171432	1668.41
43	0.00171432	0.0018591	1668.41
44	0.0018591	0.00201568	1177.17
45	0.00201568	0.00218503	1177.17
46	0.00218503	0.0023682	829.048
47	0.0023682	0.0025663	829.048
48	0.0025663	0.00278055	617.161
49	0.00278055	0.00301228	617.161
50	0.00301228	0.0032629	505.509
51	0.0032629	0.00353396	505.509
52	0.00353396	0.00382713	457.774
53	0.00382713	0.00414421	457.774
54	0.00414421	0.00448714	393.03
55	0.00448714	0.00485804	393.03
56	0.00485804	0.00525919	393.03
57	0.00525919	0.00569305	393.03
58	0.00569305	0.00616229	1.63955
59	0.00616229	0.00666979	1.63955
60	0.00666979	0.00721869	1.63955
61	0.00721869	0.00781234	1.63955
62	0.00781234	0.00845441	1.63955
63	0.00845441	inf	1.63955
