time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.39579e-05	2349.89
1	1.39579e-05	2.90541e-05	2349.89
2	2.90541e-05	4.53814e-05	2349.89
3	4.53814e-05	6.30401e-05	2349.89
4	6.30401e-05	8.21389e-05	1684.08
5	8.21389e-05	0.000102795	1684.08
6	0.000102795	0.000125136	746.758
7	0.000125136	0.000149299	746.758
8	0.000149299	0.000175432	387.784
9	0.000175432	0.000203696	387.784
10	0.000203696	0.000234266	229.128
11	0.000234266	0.000267328	229.128
12	0.000267328	0.000303086	169.441
13	0.000303086	0.000341761	169.441
14	0.000341761	0.000383589	160.958
15	0.000383589	0.000428829	160.958
16	0.000428829	0.000477758	185.011
17	0.000477758	0.000530677	185.011
18	0.000530677	0.000587911	237.837
19	0.000587911	0.000649813	237.837
20	0.000649813	0.000716763	316.609
21	0.000716763	0.000789173	316.609
22	0.000789173	0.000867488	411.733
23	0.000867488	0.000952189	411.733
24	0.000952189	0.0010438	505.263
25	0.0010438	0.00114288	505.263
26	0.00114288	0.00125004	577.698
27	0.00125004	0.00136593	577.698
28	0.00136593	0.00149128	618.065
29	0.00149128	0.00162686	618.065
30	0.00162686	0.00177348	628.798
31	0.00177348	0.00193207	628.798
32	0.00193207	0.00210359	623.305
33	0.00210359	0.00228909	623.305
34	0.00228909	0.00248972	617.015
35	0.00248972	0.00270672	617.015
36	0.00270672	0.00294141	620.838
37	0.00294141	0.00319524	620.838
38	0.00319524	0.00346977	640.497
39	0.00346977	0.00376668	640.497
40	0.00376668	0.00408781	678.701
41	0.00408781	0.00443513	678.701
42	0.00443513	0.00481077	735.579
43	0.00481077	0.00521705	735.579
44	0.00521705	0.00565646	806.697
45	0.00565646	0.0061317	806.697
46	0.0061317	0.00664569	884.175
47	0.00664569	0.00720161	884.175
48	0.00720161	0.00780285	952.908
49	0.00780285	0.00845313	952.908
50	0.00845313	0.00915644	997
51	0.00915644	0.0099171	997
52	0.0099171	0.0107398	1007.64
53	0.0107398	0.0116296	1007.64
54	0.0116296	0.0125919	972.502
55	0.0125919	0.0136328	972.502
56	0.0136328	0.0147585	972.502
57	0.0147585	0.015976	972.502
58	0.015976	0.0172928	840.827
59	0.0172928	0.018717	840.827
60	0.018717	0.0202573	840.827
61	0.0202573	0.0219232	840.827
62	0.0219232	0.023725	840.827
63	0.023725	inf	840.827
