time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.1477e-05	2351.2
1	1.1477e-05	2.38899e-05	2351.2
2	2.38899e-05	3.73151e-05	2351.2
3	3.73151e-05	5.18351e-05	2351.2
4	5.18351e-05	6.75392e-05	180.004
5	6.75392e-05	8.4524e-05	180.004
6	8.4524e-05	0.000102894	284.857
7	0.000102894	0.000122762	284.857
8	0.000122762	0.00014425	410.299
9	0.00014425	0.00016749	410.299
10	0.00016749	0.000192626	465.676
11	0.000192626	0.000219812	465.676
12	0.000219812	0.000249214	490.612
13	0.000249214	0.000281015	490.612
14	0.000281015	0.000315408	512.542
15	0.000315408	0.000352607	512.542
16	0.000352607	0.000392839	531.721
17	0.000392839	0.000436352	531.721
18	0.000436352	0.000483413	545.577
19	0.000483413	0.000534312	545.577
20	0.000534312	0.000589362	555.325
21	0.000589362	0.000648902	555.325
22	0.000648902	0.000713297	566.01
23	0.000713297	0.000782943	566.01
24	0.000782943	0.000858269	583.116
25	0.000858269	0.000939737	583.116
26	0.000939737	0.00102785	607.318
27	0.00102785	0.00112315	607.318
28	0.00112315	0.00122622	635.823
29	0.00122622	0.00133769	635.823
30	0.00133769	0.00145826	665.719
31	0.00145826	0.00158865	665.719
32	0.00158865	0.00172969	695.366
33	0.00172969	0.00188222	695.366
34	0.00188222	0.00204719	724.367
35	0.00204719	0.00222561	724.367
36	0.00222561	0.00241859	751.465
37	0.00241859	0.0026273	751.465
38	0.0026273	0.00285304	772.778
39	0.00285304	0.00309718	772.778
40	0.00309718	0.00336123	784.894
41	0.00336123	0.00364681	784.894
42	0.00364681	0.00395569	789.42
43	0.00395569	0.00428975	789.42
44	0.00428975	0.00465105	792.064
45	0.00465105	0.00504182	792.064
46	0.00504182	0.00546446	798.178
47	0.00546446	0.00592156	798.178
48	0.00592156	0.00641594	810.323
49	0.00641594	0.00695064	810.323
50	0.00695064	0.00752894	824.671
51	0.00752894	0.0081544	824.671
52	0.0081544	0.00883086	838.053
53	0.00883086	0.00956249	838.053
54	0.00956249	0.0103538	1058.46
55	0.0103538	0.0112096	1058.46
56	0.0112096	0.0121352	1058.46
57	0.0121352	0.0131363	1058.46
58	0.0131363	0.0142191	0.710551
59	0.0142191	0.0153901	0.710551
60	0.0153901	0.0166567	0.710551
61	0.0166567	0.0180265	0.710551
62	0.0180265	0.019508	0.710551
63	0.019508	inf	0.710551
