time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.43952e-06	2915.39
1	5.43952e-06	1.13226e-05	2915.39
2	1.13226e-05	1.76855e-05	2915.39
3	1.76855e-05	2.45673e-05	2915.39
4	2.45673e-05	3.20103e-05	1589.13
5	3.20103e-05	4.00602e-05	1589.13
6	4.00602e-05	4.87667e-05	1734.67
7	4.87667e-05	5.81831e-05	1734.67
8	5.81831e-05	6.83674e-05	1396.16
9	6.83674e-05	7.93823e-05	1396.16
10	7.93823e-05	9.12955e-05	1111.15
11	9.12955e-05	0.00010418	1111.15
12	0.00010418	0.000118116	935.251
13	0.000118116	0.000133187	935.251
14	0.000133187	0.000149488	827.969
15	0.000149488	0.000167118	827.969
16	0.000167118	0.000186187	791.842
17	0.000186187	0.000206809	791.842
18	0.000206809	0.000229114	837.629
19	0.000229114	0.000253238	837.629
20	0.000253238	0.000279329	960.58
21	0.000279329	0.000307548	960.58
22	0.000307548	0.000338068	1140.2
23	0.000338068	0.000371077	1140.2
24	0.000371077	0.000406777	1344.46
25	0.000406777	0.00044539	1344.46
26	0.00044539	0.000487151	1536.73
27	0.000487151	0.000532317	1536.73
28	0.000532317	0.000581167	1686.55
29	0.000581167	0.000634	1686.55
30	0.000634	0.000691143	1777.79
31	0.000691143	0.000752945	1777.79
32	0.000752945	0.000819787	1804.61
33	0.000819787	0.00089208	1804.61
34	0.00089208	0.000970268	1762.44
35	0.000970268	0.00105483	1762.44
36	0.00105483	0.00114629	1651.18
37	0.00114629	0.00124521	1651.18
38	0.00124521	0.0013522	1485.63
39	0.0013522	0.00146791	1485.63
40	0.00146791	0.00159306	1292.66
41	0.00159306	0.00172841	1292.66
42	0.00172841	0.0018748	1102.28
43	0.0018748	0.00203313	1102.28
44	0.00203313	0.00220437	939.796
45	0.00220437	0.00238958	939.796
46	0.00238958	0.00258989	818.817
47	0.00258989	0.00280653	818.817
48	0.00280653	0.00304084	744.261
49	0.00304084	0.00329426	744.261
50	0.00329426	0.00356835	724.943
51	0.00356835	0.00386479	724.943
52	0.00386479	0.0041854	797.526
53	0.0041854	0.00453216	797.526
54	0.00453216	0.00490719	1947.6
55	0.00490719	0.00531281	1947.6
56	0.00531281	0.00575151	1947.6
57	0.00575151	0.00622598	1947.6
58	0.00622598	0.00673915	1.49921
59	0.00673915	0.00729417	1.49921
60	0.00729417	0.00789444	1.49921
61	0.00789444	0.00854367	1.49921
62	0.00854367	0.00924585	1.49921
63	0.00924585	inf	1.49921
