time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.10661e-05	120.571
1	1.10661e-05	2.30347e-05	120.571
2	2.30347e-05	3.59793e-05	120.571
3	3.59793e-05	4.99796e-05	120.571
4	4.99796e-05	6.51216e-05	275.12
5	6.51216e-05	8.14984e-05	275.12
6	8.14984e-05	9.92107e-05	284.069
7	9.92107e-05	0.000118367	284.069
8	0.000118367	0.000139086	275.527
9	0.000139086	0.000161495	275.527
10	0.000161495	0.000185731	246.867
11	0.000185731	0.000211944	246.867
12	0.000211944	0.000240294	243.008
13	0.000240294	0.000270956	243.008
14	0.000270956	0.000304118	257.435
15	0.000304118	0.000339985	257.435
16	0.000339985	0.000378777	296.247
17	0.000378777	0.000420732	296.247
18	0.000420732	0.000466109	363.257
19	0.000466109	0.000515186	363.257
20	0.000515186	0.000568266	460.64
21	0.000568266	0.000625674	460.64
22	0.000625674	0.000687763	590.918
23	0.000687763	0.000754917	590.918
24	0.000754917	0.000827546	749.697
25	0.000827546	0.000906098	749.697
26	0.000906098	0.000991057	923.142
27	0.000991057	0.00108294	923.142
28	0.00108294	0.00118232	1090.56
29	0.00118232	0.00128981	1090.56
30	0.00128981	0.00140606	1225.55
31	0.00140606	0.00153179	1225.55
32	0.00153179	0.00166777	1303.18
33	0.00166777	0.00181484	1303.18
34	0.00181484	0.00197391	1310.37
35	0.00197391	0.00214595	1310.37
36	0.00214595	0.00233201	1256.1
37	0.00233201	0.00253326	1256.1
38	0.00253326	0.00275091	1168.44
39	0.00275091	0.00298631	1168.44
40	0.00298631	0.00324091	1082.77
41	0.00324091	0.00351627	1082.77
42	0.00351627	0.00381409	1026.22
43	0.00381409	0.00413619	1026.22
44	0.00413619	0.00448456	1011.85
45	0.00448456	0.00486135	1011.85
46	0.00486135	0.00526885	1033.83
47	0.00526885	0.00570959	1033.83
48	0.00570959	0.00618628	1079.51
49	0.00618628	0.00670183	1079.51
50	0.00670183	0.00725943	1130.75
51	0.00725943	0.0078625	1130.75
52	0.0078625	0.00851475	1165.52
53	0.00851475	0.00922019	1165.52
54	0.00922019	0.00998317	1155.53
55	0.00998317	0.0108084	1155.53
56	0.0108084	0.0117008	1155.53
57	0.0117008	0.0126661	1155.53
58	0.0126661	0.0137101	1021.16
59	0.0137101	0.0148392	1021.16
60	0.0148392	0.0160604	1021.16
61	0.0160604	0.0173812	1021.16
62	0.0173812	0.0188097	1021.16
63	0.0188097	inf	1021.16
