time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.00949e-05	2326.18
1	1.00949e-05	2.1013e-05	2326.18
2	2.1013e-05	3.28214e-05	2326.18
3	3.28214e-05	4.55929e-05	2326.18
4	4.55929e-05	5.94058e-05	2181.01
5	5.94058e-05	7.43452e-05	2181.01
6	7.43452e-05	9.05029e-05	1199.98
7	9.05029e-05	0.000107978	1199.98
8	0.000107978	0.000126879	928.407
9	0.000126879	0.000147321	928.407
10	0.000147321	0.000169429	813.368
11	0.000169429	0.000193341	813.368
12	0.000193341	0.000219203	777.234
13	0.000219203	0.000247174	777.234
14	0.000247174	0.000277426	783.648
15	0.000277426	0.000310144	783.648
16	0.000310144	0.000345532	802.425
17	0.000345532	0.000383804	802.425
18	0.000383804	0.000425198	815.157
19	0.000425198	0.000469968	815.157
20	0.000469968	0.000518389	806.302
21	0.000518389	0.000570758	806.302
22	0.000570758	0.000627398	770.542
23	0.000627398	0.000688657	770.542
24	0.000688657	0.000754912	716.714
25	0.000754912	0.00082657	716.714
26	0.00082657	0.000904071	656.326
27	0.000904071	0.000987893	656.326
28	0.000987893	0.00107855	598.802
29	0.00107855	0.0011766	598.802
30	0.0011766	0.00128265	546.828
31	0.00128265	0.00139734	546.828
32	0.00139734	0.00152139	497.25
33	0.00152139	0.00165555	497.25
34	0.00165555	0.00180066	447.807
35	0.00180066	0.0019576	447.807
36	0.0019576	0.00212733	402.404
37	0.00212733	0.00231091	402.404
38	0.00231091	0.00250946	369.071
39	0.00250946	0.0027242	369.071
40	0.0027242	0.00295645	355.244
41	0.00295645	0.00320765	355.244
42	0.00320765	0.00347932	365.777
43	0.00347932	0.00377316	365.777
44	0.00377316	0.00409095	404.78
45	0.00409095	0.00443466	404.78
46	0.00443466	0.0048064	474.269
47	0.0048064	0.00520846	474.269
48	0.00520846	0.0056433	566.814
49	0.0056433	0.00611361	566.814
50	0.00611361	0.00662227	655.025
51	0.00662227	0.00717241	655.025
52	0.00717241	0.00776741	675.324
53	0.00776741	0.00841094	675.324
54	0.00841094	0.00910694	356.159
55	0.00910694	0.0098597	356.159
56	0.0098597	0.0106739	356.159
57	0.0106739	0.0115544	356.159
58	0.0115544	0.0125068	0.807834
59	0.0125068	0.0135368	0.807834
60	0.0135368	0.0146508	0.807834
61	0.0146508	0.0158557	0.807834
62	0.0158557	0.0171588	0.807834
63	0.0171588	inf	0.807834
