time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.31995e-05	395.745
1	1.31995e-05	2.74754e-05	395.745
2	2.74754e-05	4.29155e-05	395.745
3	4.29155e-05	5.96147e-05	395.745
4	5.96147e-05	7.76758e-05	161.34
5	7.76758e-05	9.72097e-05	161.34
6	9.72097e-05	0.000118337	139.883
7	0.000118337	0.000141186	139.883
8	0.000141186	0.0001659	148.824
9	0.0001659	0.000192628	148.824
10	0.000192628	0.000221537	183.388
11	0.000221537	0.000252802	183.388
12	0.000252802	0.000286618	263.824
13	0.000286618	0.000323191	263.824
14	0.000323191	0.000362746	371.969
15	0.000362746	0.000405528	371.969
16	0.000405528	0.000451798	463.734
17	0.000451798	0.000501842	463.734
18	0.000501842	0.000555966	520.156
19	0.000555966	0.000614505	520.156
20	0.000614505	0.000677817	551.848
21	0.000677817	0.000746292	551.848
22	0.000746292	0.000820352	570.203
23	0.000820352	0.00090045	570.203
24	0.00090045	0.000987082	585.887
25	0.000987082	0.00108078	585.887
26	0.00108078	0.00118211	605.148
27	0.00118211	0.00129171	605.148
28	0.00129171	0.00141025	636.32
29	0.00141025	0.00153846	636.32
30	0.00153846	0.00167712	686.221
31	0.00167712	0.00182709	686.221
32	0.00182709	0.00198929	754.113
33	0.00198929	0.00216471	754.113
34	0.00216471	0.00235444	831.629
35	0.00235444	0.00255965	831.629
36	0.00255965	0.00278158	905.76
37	0.00278158	0.00302162	905.76
38	0.00302162	0.00328123	969.578
39	0.00328123	0.00356202	969.578
40	0.00356202	0.0038657	1018.88
41	0.0038657	0.00419414	1018.88
42	0.00419414	0.00454937	1051.9
43	0.00454937	0.00493357	1051.9
44	0.00493357	0.0053491	1068.49
45	0.0053491	0.00579852	1068.49
46	0.00579852	0.00628459	1070.84
47	0.00628459	0.0068103	1070.84
48	0.0068103	0.00737887	1058.08
49	0.00737887	0.00799382	1058.08
50	0.00799382	0.00865891	1022.73
51	0.00865891	0.00937825	1022.73
52	0.00937825	0.0101562	962.945
53	0.0101562	0.0109977	962.945
54	0.0109977	0.0119077	856.369
55	0.0119077	0.012892	856.369
56	0.012892	0.0139565	856.369
57	0.0139565	0.0151079	856.369
58	0.0151079	0.0163531	658.189
59	0.0163531	0.0176999	658.189
60	0.0176999	0.0191566	658.189
61	0.0191566	0.020732	658.189
62	0.020732	0.0224359	658.189
63	0.0224359	inf	658.189
