time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.29471e-05	763.467
1	1.29471e-05	2.695e-05	763.467
2	2.695e-05	4.20948e-05	763.467
3	4.20948e-05	5.84747e-05	763.467
4	5.84747e-05	7.61904e-05	42.3469
5	7.61904e-05	9.53508e-05	42.3469
6	9.53508e-05	0.000116074	204.604
7	0.000116074	0.000138487	204.604
8	0.000138487	0.000162727	258.161
9	0.000162727	0.000188945	258.161
10	0.000188945	0.0002173	285.701
11	0.0002173	0.000247968	285.701
12	0.000247968	0.000281137	298.947
13	0.000281137	0.00031701	298.947
14	0.00031701	0.00035581	267.688
15	0.00035581	0.000397773	267.688
16	0.000397773	0.000443158	244.95
17	0.000443158	0.000492245	244.95
18	0.000492245	0.000545334	265.552
19	0.000545334	0.000602753	265.552
20	0.000602753	0.000664855	328.615
21	0.000664855	0.000732021	328.615
22	0.000732021	0.000804664	428.596
23	0.000804664	0.000883231	428.596
24	0.000883231	0.000968206	554.007
25	0.000968206	0.00106011	554.007
26	0.00106011	0.00115951	685.171
27	0.00115951	0.00126701	685.171
28	0.00126701	0.00138328	799.788
29	0.00138328	0.00150904	799.788
30	0.00150904	0.00164505	880.486
31	0.00164505	0.00179215	880.486
32	0.00179215	0.00195124	919.862
33	0.00195124	0.00212331	919.862
34	0.00212331	0.00230942	923.622
35	0.00230942	0.0025107	923.622
36	0.0025107	0.00272839	906.941
37	0.00272839	0.00296384	906.941
38	0.00296384	0.00321849	884.459
39	0.00321849	0.0034939	884.459
40	0.0034939	0.00379177	867.92
41	0.00379177	0.00411394	867.92
42	0.00411394	0.00446238	868.53
43	0.00446238	0.00483923	868.53
44	0.00483923	0.00524681	891.503
45	0.00524681	0.00568764	891.503
46	0.00568764	0.00616441	924.281
47	0.00616441	0.00668006	924.281
48	0.00668006	0.00723777	924.799
49	0.00723777	0.00784095	924.799
50	0.00784095	0.00849333	814.94
51	0.00849333	0.00919891	814.94
52	0.00919891	0.00996202	556.356
53	0.00996202	0.0107874	556.356
54	0.0107874	0.01168	286.988
55	0.01168	0.0126455	286.988
56	0.0126455	0.0136897	286.988
57	0.0136897	0.014819	286.988
58	0.014819	0.0160404	244.181
59	0.0160404	0.0173615	244.181
60	0.0173615	0.0187902	244.181
61	0.0187902	0.0203355	244.181
62	0.0203355	0.0220068	244.181
63	0.0220068	inf	244.181
