time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.44995e-06	2824.62
1	4.44995e-06	9.26279e-06	2824.62
2	9.26279e-06	1.44681e-05	2824.62
3	1.44681e-05	2.00979e-05	2824.62
4	2.00979e-05	2.61869e-05	1033.55
5	2.61869e-05	3.27724e-05	1033.55
6	3.27724e-05	3.98949e-05	1291.98
7	3.98949e-05	4.75982e-05	1291.98
8	4.75982e-05	5.59298e-05	1170.66
9	5.59298e-05	6.49408e-05	1170.66
10	6.49408e-05	7.46867e-05	1341.9
11	7.46867e-05	8.52273e-05	1341.9
12	8.52273e-05	9.66276e-05	1589.31
13	9.66276e-05	0.000108957	1589.31
14	0.000108957	0.000122293	1741.4
15	0.000122293	0.000136716	1741.4
16	0.000136716	0.000152315	1788.13
17	0.000152315	0.000169186	1788.13
18	0.000169186	0.000187433	1757.69
19	0.000187433	0.000207168	1757.69
20	0.000207168	0.000228513	1696.83
21	0.000228513	0.000251598	1696.83
22	0.000251598	0.000276565	1640.34
23	0.000276565	0.000303569	1640.34
24	0.000303569	0.000332775	1591.99
25	0.000332775	0.000364363	1591.99
26	0.000364363	0.000398527	1572.73
27	0.000398527	0.000435476	1572.73
28	0.000435476	0.000475439	1588.41
29	0.000475439	0.000518661	1588.41
30	0.000518661	0.000565408	1635.04
31	0.000565408	0.000615967	1635.04
32	0.000615967	0.000670648	1694.72
33	0.000670648	0.00072979	1694.72
34	0.00072979	0.000793754	1751.85
35	0.000793754	0.000862934	1751.85
36	0.000862934	0.000937756	1791.56
37	0.000937756	0.00101868	1791.56
38	0.00101868	0.0011062	1799.71
39	0.0011062	0.00120086	1799.71
40	0.00120086	0.00130324	1755.27
41	0.00130324	0.00141397	1755.27
42	0.00141397	0.00153373	1638.24
43	0.00153373	0.00166326	1638.24
44	0.00166326	0.00180335	1477.32
45	0.00180335	0.00195486	1477.32
46	0.00195486	0.00211873	1294.85
47	0.00211873	0.00229596	1294.85
48	0.00229596	0.00248764	1118.91
49	0.00248764	0.00269496	1118.91
50	0.00269496	0.00291918	954.929
51	0.00291918	0.00316169	954.929
52	0.00316169	0.00342398	790.455
53	0.00342398	0.00370765	790.455
54	0.00370765	0.00401446	820.511
55	0.00401446	0.00434629	820.511
56	0.00434629	0.00470518	820.511
57	0.00470518	0.00509333	820.511
58	0.00509333	0.00551314	1.8326
59	0.00551314	0.00596719	1.8326
60	0.00596719	0.00645826	1.8326
61	0.00645826	0.00698938	1.8326
62	0.00698938	0.00756381	1.8326
63	0.00756381	inf	1.8326
