time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.60916e-05	72.3708
1	2.60916e-05	5.4311e-05	72.3708
2	5.4311e-05	8.48317e-05	72.3708
3	8.48317e-05	0.000117841	72.3708
4	0.000117841	0.000153543	185.165
5	0.000153543	0.000192156	185.165
6	0.000192156	0.000233918	153.489
7	0.000233918	0.000279085	153.489
8	0.000279085	0.000327936	194.621
9	0.000327936	0.000380771	194.621
10	0.000380771	0.000437914	285.374
11	0.000437914	0.000499718	285.374
12	0.000499718	0.000566561	323.783
13	0.000566561	0.000638856	323.783
14	0.000638856	0.000717046	297.376
15	0.000717046	0.000801613	297.376
16	0.000801613	0.000893076	261.987
17	0.000893076	0.000991997	261.987
18	0.000991997	0.00109899	230.929
19	0.00109899	0.0012147	230.929
20	0.0012147	0.00133985	205.287
21	0.00133985	0.00147521	205.287
22	0.00147521	0.0016216	186.409
23	0.0016216	0.00177993	186.409
24	0.00177993	0.00195118	176.108
25	0.00195118	0.00213639	176.108
26	0.00213639	0.0023367	178.85
27	0.0023367	0.00255335	178.85
28	0.00255335	0.00278767	200.602
29	0.00278767	0.00304109	200.602
30	0.00304109	0.00331518	249.895
31	0.00331518	0.00361163	249.895
32	0.00361163	0.00393225	340.098
33	0.00393225	0.00427901	340.098
34	0.00427901	0.00465406	487.324
35	0.00465406	0.00505969	487.324
36	0.00505969	0.00549839	693.852
37	0.00549839	0.00597288	693.852
38	0.00597288	0.00648606	918.259
39	0.00648606	0.00704109	918.259
40	0.00704109	0.00764138	1093.67
41	0.00764138	0.00829062	1093.67
42	0.00829062	0.00899281	1181.74
43	0.00899281	0.00975226	1181.74
44	0.00975226	0.0105737	1181.72
45	0.0105737	0.011462	1181.72
46	0.011462	0.0124228	1111.03
47	0.0124228	0.013462	1111.03
48	0.013462	0.0145859	992.527
49	0.0145859	0.0158015	992.527
50	0.0158015	0.0171162	857.751
51	0.0171162	0.0185381	857.751
52	0.0185381	0.020076	732.943
53	0.020076	0.0217393	732.943
54	0.0217393	0.0235382	596.432
55	0.0235382	0.0254838	596.432
56	0.0254838	0.0275881	596.432
57	0.0275881	0.029864	596.432
58	0.029864	0.0323255	431.329
59	0.0323255	0.0349877	431.329
60	0.0349877	0.0378671	431.329
61	0.0378671	0.0409812	431.329
62	0.0409812	0.0443493	431.329
63	0.0443493	inf	431.329
