time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.6189e-05	276.026
1	2.6189e-05	5.45137e-05	276.026
2	5.45137e-05	8.51483e-05	276.026
3	8.51483e-05	0.000118281	276.026
4	0.000118281	0.000154116	50.9989
5	0.000154116	0.000192873	50.9989
6	0.000192873	0.000234791	65.6871
7	0.000234791	0.000280127	65.6871
8	0.000280127	0.00032916	99.9228
9	0.00032916	0.000382192	99.9228
10	0.000382192	0.000439549	140.829
11	0.000439549	0.000501583	140.829
12	0.000501583	0.000568676	168.029
13	0.000568676	0.000641241	168.029
14	0.000641241	0.000719723	185.447
15	0.000719723	0.000804605	185.447
16	0.000804605	0.000896409	199.453
17	0.000896409	0.0009957	199.453
18	0.0009957	0.00110309	211.806
19	0.00110309	0.00121923	211.806
20	0.00121923	0.00134485	222.717
21	0.00134485	0.00148071	222.717
22	0.00148071	0.00162765	234.759
23	0.00162765	0.00178658	234.759
24	0.00178658	0.00195846	251.022
25	0.00195846	0.00214436	251.022
26	0.00214436	0.00234542	273.831
27	0.00234542	0.00256288	273.831
28	0.00256288	0.00279807	305.998
29	0.00279807	0.00305244	305.998
30	0.00305244	0.00332756	351.561
31	0.00332756	0.00362511	351.561
32	0.00362511	0.00394693	415.94
33	0.00394693	0.00429499	415.94
34	0.00429499	0.00467143	503.929
35	0.00467143	0.00507857	503.929
36	0.00507857	0.00551892	613.633
37	0.00551892	0.00599517	613.633
38	0.00599517	0.00651027	726.16
39	0.00651027	0.00706737	726.16
40	0.00706737	0.0076699	814.694
41	0.0076699	0.00832157	814.694
42	0.00832157	0.00902638	861.461
43	0.00902638	0.00978867	861.461
44	0.00978867	0.0106131	864.662
45	0.0106131	0.0115048	864.662
46	0.0115048	0.0124692	829.317
47	0.0124692	0.0135123	829.317
48	0.0135123	0.0146404	765.22
49	0.0146404	0.0158605	765.22
50	0.0158605	0.0171801	686.067
51	0.0171801	0.0186073	686.067
52	0.0186073	0.0201509	603.425
53	0.0201509	0.0218204	603.425
54	0.0218204	0.023626	498.921
55	0.023626	0.0255789	498.921
56	0.0255789	0.0276911	498.921
57	0.0276911	0.0299755	498.921
58	0.0299755	0.0324462	345.042
59	0.0324462	0.0351183	345.042
60	0.0351183	0.0380084	345.042
61	0.0380084	0.0411342	345.042
62	0.0411342	0.0445148	345.042
63	0.0445148	inf	345.042
