time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.53748e-05	823.372
1	1.53748e-05	3.20035e-05	823.372
2	3.20035e-05	4.99882e-05	823.372
3	4.99882e-05	6.94395e-05	823.372
4	6.94395e-05	9.04772e-05	260.19
5	9.04772e-05	0.00011323	260.19
6	0.00011323	0.000137839	510.151
7	0.000137839	0.000164455	510.151
8	0.000164455	0.000193241	618.323
9	0.000193241	0.000224374	618.323
10	0.000224374	0.000258047	547.737
11	0.000258047	0.000294465	547.737
12	0.000294465	0.000333854	488.499
13	0.000333854	0.000376454	488.499
14	0.000376454	0.000422529	490.123
15	0.000422529	0.000472361	490.123
16	0.000472361	0.000526257	518.985
17	0.000526257	0.000584548	518.985
18	0.000584548	0.000647592	553.359
19	0.000647592	0.000715778	553.359
20	0.000715778	0.000789524	575.605
21	0.000789524	0.000869285	575.605
22	0.000869285	0.00095555	568.856
23	0.00095555	0.00104885	568.856
24	0.00104885	0.00114976	530.453
25	0.00114976	0.00125889	530.453
26	0.00125889	0.00137693	471.688
27	0.00137693	0.0015046	471.688
28	0.0015046	0.00164267	411.198
29	0.00164267	0.001792	411.198
30	0.001792	0.00195352	364.652
31	0.00195352	0.0021282	364.652
32	0.0021282	0.00231713	340.078
33	0.00231713	0.00252147	340.078
34	0.00252147	0.00274247	341.743
35	0.00274247	0.00298149	341.743
36	0.00298149	0.00324	374.913
37	0.00324	0.0035196	374.913
38	0.0035196	0.003822	447.91
39	0.003822	0.00414905	447.91
40	0.00414905	0.00450278	570.628
41	0.00450278	0.00488536	570.628
42	0.00488536	0.00529913	745.423
43	0.00529913	0.00574665	745.423
44	0.00574665	0.00623066	952.9
45	0.00623066	0.00675415	952.9
46	0.00675415	0.00732032	1153.87
47	0.00732032	0.00793267	1153.87
48	0.00793267	0.00859495	1307.69
49	0.00859495	0.00931124	1307.69
50	0.00931124	0.0100859	1387.2
51	0.0100859	0.0109238	1387.2
52	0.0109238	0.01183	1388.32
53	0.01183	0.0128101	1388.32
54	0.0128101	0.0138702	1289.87
55	0.0138702	0.0150167	1289.87
56	0.0150167	0.0162567	1289.87
57	0.0162567	0.0175978	1289.87
58	0.0175978	0.0190482	1058.03
59	0.0190482	0.020617	1058.03
60	0.020617	0.0223137	1058.03
61	0.0223137	0.0241487	1058.03
62	0.0241487	0.0261334	1058.03
63	0.0261334	inf	1058.03
