time_index	left_time_boundary	right_time_boundary	lambda
0	0	9.24423e-06	173.54
1	9.24423e-06	1.92423e-05	173.54
2	1.92423e-05	3.00558e-05	173.54
3	3.00558e-05	4.1751e-05	173.54
4	4.1751e-05	5.44e-05	355.661
5	5.44e-05	6.80806e-05	355.661
6	6.80806e-05	8.28768e-05	304.32
7	8.28768e-05	9.88796e-05	304.32
8	9.88796e-05	0.000116187	351.811
9	0.000116187	0.000134907	351.811
10	0.000134907	0.000155153	574.22
11	0.000155153	0.000177049	574.22
12	0.000177049	0.000200732	842.931
13	0.000200732	0.000226346	842.931
14	0.000226346	0.000254049	1069
15	0.000254049	0.00028401	1069
16	0.00028401	0.000316416	1202.35
17	0.000316416	0.000351463	1202.35
18	0.000351463	0.000389369	1224.95
19	0.000389369	0.000430367	1224.95
20	0.000430367	0.000474707	1157.28
21	0.000474707	0.000522664	1157.28
22	0.000522664	0.000574531	1045.19
23	0.000574531	0.000630628	1045.19
24	0.000630628	0.0006913	935.968
25	0.0006913	0.00075692	935.968
26	0.00075692	0.00082789	854.257
27	0.00082789	0.000904649	854.257
28	0.000904649	0.000987667	808.393
29	0.000987667	0.00107746	808.393
30	0.00107746	0.00117457	790.453
31	0.00117457	0.0012796	790.453
32	0.0012796	0.00139319	789.081
33	0.00139319	0.00151605	789.081
34	0.00151605	0.00164893	791.078
35	0.00164893	0.00179264	791.078
36	0.00179264	0.00194807	783.81
37	0.00194807	0.00211618	783.81
38	0.00211618	0.002298	763.914
39	0.002298	0.00249465	763.914
40	0.00249465	0.00270733	738.175
41	0.00270733	0.00293736	738.175
42	0.00293736	0.00318614	719.627
43	0.00318614	0.00345522	719.627
44	0.00345522	0.00374623	718.485
45	0.00374623	0.00406098	718.485
46	0.00406098	0.0044014	742.707
47	0.0044014	0.00476957	742.707
48	0.00476957	0.00516778	791.692
49	0.00516778	0.00559845	791.692
50	0.00559845	0.00606425	852.471
51	0.00606425	0.00656803	852.471
52	0.00656803	0.0071129	907.98
53	0.0071129	0.00770219	907.98
54	0.00770219	0.00833955	971.325
55	0.00833955	0.00902888	971.325
56	0.00902888	0.00977443	971.325
57	0.00977443	0.0105808	971.325
58	0.0105808	0.0114529	0.88217
59	0.0114529	0.0123961	0.88217
60	0.0123961	0.0134163	0.88217
61	0.0134163	0.0145196	0.88217
62	0.0145196	0.0157129	0.88217
63	0.0157129	inf	0.88217
