time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.99444e-06	2012.98
1	4.99444e-06	1.03962e-05	2012.98
2	1.03962e-05	1.62384e-05	2012.98
3	1.62384e-05	2.25571e-05	2012.98
4	2.25571e-05	2.93911e-05	1.63281
5	2.93911e-05	3.67823e-05	1.63281
6	3.67823e-05	4.47764e-05	1.63281
7	4.47764e-05	5.34223e-05	1.63281
8	5.34223e-05	6.27733e-05	1.63281
9	6.27733e-05	7.28869e-05	1.63281
10	7.28869e-05	8.38253e-05	1.63281
11	8.38253e-05	9.56556e-05	1.63281
12	9.56556e-05	0.000108451	1.63281
13	0.000108451	0.000122289	1.63281
14	0.000122289	0.000137256	1.63281
15	0.000137256	0.000153444	1.63281
16	0.000153444	0.000170952	1.63281
17	0.000170952	0.000189887	1.63281
18	0.000189887	0.000210367	1.63281
19	0.000210367	0.000232517	1.63281
20	0.000232517	0.000256473	1.63281
21	0.000256473	0.000282383	1.63281
22	0.000282383	0.000310406	1.63281
23	0.000310406	0.000340713	1.63281
24	0.000340713	0.000373493	1.63281
25	0.000373493	0.000408946	1.63281
26	0.000408946	0.00044729	1.63281
27	0.00044729	0.00048876	1.63281
28	0.00048876	0.000533613	1.63281
29	0.000533613	0.000582124	1.63281
30	0.000582124	0.00063459	1.63281
31	0.00063459	0.000691335	1.63281
32	0.000691335	0.000752708	1.63281
33	0.000752708	0.000819086	1.63281
34	0.000819086	0.000890876	1.63281
35	0.000890876	0.000968521	1.63281
36	0.000968521	0.0010525	1.63281
37	0.0010525	0.00114332	1.63281
38	0.00114332	0.00124156	1.63281
39	0.00124156	0.0013478	1.63281
40	0.0013478	0.00146271	1.63281
41	0.00146271	0.00158698	1.63281
42	0.00158698	0.0017214	1.63281
43	0.0017214	0.00186677	1.63281
44	0.00186677	0.002024	1.63281
45	0.002024	0.00219405	1.63281
46	0.00219405	0.00237797	1.63281
47	0.00237797	0.00257689	1.63281
48	0.00257689	0.00279203	1.63281
49	0.00279203	0.00302471	1.63281
50	0.00302471	0.00327637	1.63281
51	0.00327637	0.00354855	1.63281
52	0.00354855	0.00384293	1.63281
53	0.00384293	0.00416131	1.63281
54	0.00416131	0.00450566	1.63281
55	0.00450566	0.00487809	1.63281
56	0.00487809	0.00528089	1.63281
57	0.00528089	0.00571654	1.63281
58	0.00571654	0.00618772	1.63281
59	0.00618772	0.00669732	1.63281
60	0.00669732	0.00724848	1.63281
61	0.00724848	0.00784459	1.63281
62	0.00784459	0.00848931	1.63281
63	0.00848931	inf	1.63281
