time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.77957e-06	2934.29
1	5.77957e-06	1.20305e-05	2934.29
2	1.20305e-05	1.87911e-05	2934.29
3	1.87911e-05	2.61031e-05	2934.29
4	2.61031e-05	3.40113e-05	3425.75
5	3.40113e-05	4.25645e-05	3425.75
6	4.25645e-05	5.18152e-05	2115.45
7	5.18152e-05	6.18203e-05	2115.45
8	6.18203e-05	7.26413e-05	1813.1
9	7.26413e-05	8.43448e-05	1813.1
10	8.43448e-05	9.70026e-05	1818.99
11	9.70026e-05	0.000110693	1818.99
12	0.000110693	0.000125499	1907.71
13	0.000125499	0.000141513	1907.71
14	0.000141513	0.000158833	1943.26
15	0.000158833	0.000177566	1943.26
16	0.000177566	0.000197826	1913.73
17	0.000197826	0.000219738	1913.73
18	0.000219738	0.000243437	1854.65
19	0.000243437	0.000269069	1854.65
20	0.000269069	0.000296791	1802.98
21	0.000296791	0.000326774	1802.98
22	0.000326774	0.000359201	1766.28
23	0.000359201	0.000394274	1766.28
24	0.000394274	0.000432206	1723.12
25	0.000432206	0.000473232	1723.12
26	0.000473232	0.000517604	1638.75
27	0.000517604	0.000565594	1638.75
28	0.000565594	0.000617497	1486.26
29	0.000617497	0.000673634	1486.26
30	0.000673634	0.000734348	1277.95
31	0.000734348	0.000800014	1277.95
32	0.000800014	0.000871034	1055.94
33	0.000871034	0.000947846	1055.94
34	0.000947846	0.00103092	859.14
35	0.00103092	0.00112077	859.14
36	0.00112077	0.00121795	707.795
37	0.00121795	0.00132306	707.795
38	0.00132306	0.00143673	598.941
39	0.00143673	0.00155967	598.941
40	0.00155967	0.00169265	526.748
41	0.00169265	0.00183646	526.748
42	0.00183646	0.001992	484.601
43	0.001992	0.00216023	484.601
44	0.00216023	0.00234217	470.775
45	0.00234217	0.00253896	470.775
46	0.00253896	0.00275179	485.187
47	0.00275179	0.00298198	485.187
48	0.00298198	0.00323094	531.733
49	0.00323094	0.0035002	531.733
50	0.0035002	0.00379142	610.378
51	0.00379142	0.00410639	610.378
52	0.00410639	0.00444704	722.015
53	0.00444704	0.00481547	722.015
54	0.00481547	0.00521396	910.965
55	0.00521396	0.00564493	910.965
56	0.00564493	0.00611105	910.965
57	0.00611105	0.00661519	910.965
58	0.00661519	0.00716044	519.561
59	0.00716044	0.00775015	519.561
60	0.00775015	0.00838795	519.561
61	0.00838795	0.00907776	519.561
62	0.00907776	0.00982383	519.561
63	0.00982383	inf	519.561
