time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.94566e-06	627.857
1	1.94566e-06	4.04999e-06	627.857
2	4.04999e-06	6.32593e-06	627.857
3	6.32593e-06	8.78747e-06	627.857
4	8.78747e-06	1.14498e-05	4.19137
5	1.14498e-05	1.43291e-05	4.19137
6	1.43291e-05	1.74433e-05	4.19136
7	1.74433e-05	2.08115e-05	4.19136
8	2.08115e-05	2.44543e-05	4.19136
9	2.44543e-05	2.83943e-05	4.19136
10	2.83943e-05	3.26555e-05	4.19136
11	3.26555e-05	3.72642e-05	4.19136
12	3.72642e-05	4.22487e-05	4.19136
13	4.22487e-05	4.76398e-05	4.19136
14	4.76398e-05	5.34704e-05	4.19136
15	5.34704e-05	5.97766e-05	4.19136
16	5.97766e-05	6.6597e-05	4.19136
17	6.6597e-05	7.39737e-05	4.19136
18	7.39737e-05	8.19519e-05	4.19136
19	8.19519e-05	9.05807e-05	4.19136
20	9.05807e-05	9.99132e-05	4.19136
21	9.99132e-05	0.000110007	4.19136
22	0.000110007	0.000120923	4.19136
23	0.000120923	0.00013273	4.19136
24	0.00013273	0.0001455	4.19136
25	0.0001455	0.000159311	4.19136
26	0.000159311	0.000174249	4.19136
27	0.000174249	0.000190404	4.19136
28	0.000190404	0.000207878	4.19136
29	0.000207878	0.000226776	4.19136
30	0.000226776	0.000247215	4.19136
31	0.000247215	0.000269321	4.19136
32	0.000269321	0.000293229	4.19136
33	0.000293229	0.000319088	4.19136
34	0.000319088	0.000347055	4.19136
35	0.000347055	0.000377303	4.19136
36	0.000377303	0.000410018	4.19136
37	0.000410018	0.0004454	4.19136
38	0.0004454	0.000483668	4.19136
39	0.000483668	0.000525057	4.19136
40	0.000525057	0.000569821	4.19136
41	0.000569821	0.000618235	4.19136
42	0.000618235	0.000670598	4.19136
43	0.000670598	0.00072723	4.19136
44	0.00072723	0.000788482	4.19136
45	0.000788482	0.000854728	4.19136
46	0.000854728	0.000926376	4.19136
47	0.000926376	0.00100387	4.19136
48	0.00100387	0.00108768	4.19136
49	0.00108768	0.00117832	4.19136
50	0.00117832	0.00127636	4.19136
51	0.00127636	0.00138239	4.19136
52	0.00138239	0.00149707	4.19136
53	0.00149707	0.00162111	4.19136
54	0.00162111	0.00175525	4.19136
55	0.00175525	0.00190034	4.19136
56	0.00190034	0.00205726	4.19136
57	0.00205726	0.00222697	4.19136
58	0.00222697	0.00241053	4.19136
59	0.00241053	0.00260905	4.19136
60	0.00260905	0.00282376	4.19136
61	0.00282376	0.00305599	4.19136
62	0.00305599	0.00330715	4.19136
63	0.00330715	inf	4.19136
