time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.11953e-05	310.397
1	1.11953e-05	2.33036e-05	310.397
2	2.33036e-05	3.63994e-05	310.397
3	3.63994e-05	5.05631e-05	310.397
4	5.05631e-05	6.58818e-05	525.892
5	6.58818e-05	8.24498e-05	525.892
6	8.24498e-05	0.000100369	437.423
7	0.000100369	0.000119749	437.423
8	0.000119749	0.00014071	484.765
9	0.00014071	0.00016338	484.765
10	0.00016338	0.000187899	599.699
11	0.000187899	0.000214418	599.699
12	0.000214418	0.000243099	666.666
13	0.000243099	0.000274119	666.666
14	0.000274119	0.000307668	695.83
15	0.000307668	0.000343954	695.83
16	0.000343954	0.000383199	714.323
17	0.000383199	0.000425644	714.323
18	0.000425644	0.00047155	724.522
19	0.00047155	0.0005212	724.522
20	0.0005212	0.0005749	725.768
21	0.0005749	0.000632978	725.768
22	0.000632978	0.000695792	726.783
23	0.000695792	0.000763729	726.783
24	0.000763729	0.000837207	737.787
25	0.000837207	0.000916676	737.787
26	0.000916676	0.00100263	761.345
27	0.00100263	0.00109559	761.345
28	0.00109559	0.00119613	791.523
29	0.00119613	0.00130486	791.523
30	0.00130486	0.00142247	812.966
31	0.00142247	0.00154967	812.966
32	0.00154967	0.00168724	809.118
33	0.00168724	0.00183603	809.118
34	0.00183603	0.00199695	768.009
35	0.00199695	0.002171	768.009
36	0.002171	0.00235924	700.885
37	0.00235924	0.00256283	700.885
38	0.00256283	0.00278302	633.792
39	0.00278302	0.00302117	633.792
40	0.00302117	0.00327874	591.447
41	0.00327874	0.00355732	591.447
42	0.00355732	0.00385861	584.631
43	0.00385861	0.00418448	584.631
44	0.00418448	0.00453692	616.399
45	0.00453692	0.0049181	616.399
46	0.0049181	0.00533036	687.176
47	0.00533036	0.00577625	687.176
48	0.00577625	0.00625849	797.124
49	0.00625849	0.00678007	797.124
50	0.00678007	0.00734418	912.781
51	0.00734418	0.00795429	912.781
52	0.00795429	0.00861415	978.408
53	0.00861415	0.00932783	978.408
54	0.00932783	0.0100997	971.218
55	0.0100997	0.0109345	971.218
56	0.0109345	0.0118374	971.218
57	0.0118374	0.012814	971.218
58	0.012814	0.0138701	838.796
59	0.0138701	0.0150124	838.796
60	0.0150124	0.0162479	838.796
61	0.0162479	0.0175841	838.796
62	0.0175841	0.0190293	838.796
63	0.0190293	inf	838.796
