time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.56778e-05	800.998
1	1.56778e-05	3.26341e-05	800.998
2	3.26341e-05	5.09732e-05	800.998
3	5.09732e-05	7.08079e-05	800.998
4	7.08079e-05	9.226e-05	244.805
5	9.226e-05	0.000115462	244.805
6	0.000115462	0.000140555	283.772
7	0.000140555	0.000167695	283.772
8	0.000167695	0.000197049	336.661
9	0.000197049	0.000228796	336.661
10	0.000228796	0.000263132	362.706
11	0.000263132	0.000300268	362.706
12	0.000300268	0.000340432	367.315
13	0.000340432	0.000383872	367.315
14	0.000383872	0.000430855	360.001
15	0.000430855	0.000481669	360.001
16	0.000481669	0.000536627	352.287
17	0.000536627	0.000596066	352.287
18	0.000596066	0.000660353	351.353
19	0.000660353	0.000729882	351.353
20	0.000729882	0.000805082	357.601
21	0.000805082	0.000886414	357.601
22	0.000886414	0.000974379	368.57
23	0.000974379	0.00106952	368.57
24	0.00106952	0.00117241	384.377
25	0.00117241	0.0012837	384.377
26	0.0012837	0.00140406	407.198
27	0.00140406	0.00153424	407.198
28	0.00153424	0.00167504	439.463
29	0.00167504	0.00182732	439.463
30	0.00182732	0.00199201	483.101
31	0.00199201	0.00217014	483.101
32	0.00217014	0.00236279	539.586
33	0.00236279	0.00257115	539.586
34	0.00257115	0.00279651	608.338
35	0.00279651	0.00304024	608.338
36	0.00304024	0.00330385	685.608
37	0.00330385	0.00358895	685.608
38	0.00358895	0.00389731	762.482
39	0.00389731	0.00423081	762.482
40	0.00423081	0.00459151	826.141
41	0.00459151	0.00498163	826.141
42	0.00498163	0.00540355	864.566
43	0.00540355	0.00585989	864.566
44	0.00585989	0.00635344	871.59
45	0.00635344	0.00688724	871.59
46	0.00688724	0.00746457	848.394
47	0.00746457	0.00808898	848.394
48	0.00808898	0.00876431	799.913
49	0.00876431	0.00949472	799.913
50	0.00949472	0.0102847	736.299
51	0.0102847	0.0111391	736.299
52	0.0111391	0.0120632	664.311
53	0.0120632	0.0130626	664.311
54	0.0130626	0.0141435	555.873
55	0.0141435	0.0153126	555.873
56	0.0153126	0.016577	555.873
57	0.016577	0.0179445	555.873
58	0.0179445	0.0194236	190.327
59	0.0194236	0.0210232	190.327
60	0.0210232	0.0227534	190.327
61	0.0227534	0.0246246	190.327
62	0.0246246	0.0266484	190.327
63	0.0266484	inf	190.327
