time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.24663e-06	1124.59
1	4.24663e-06	8.83956e-06	1124.59
2	8.83956e-06	1.38071e-05	1124.59
3	1.38071e-05	1.91796e-05	1124.59
4	1.91796e-05	2.49904e-05	1260.27
5	2.49904e-05	3.12749e-05	1260.27
6	3.12749e-05	3.8072e-05	768.357
7	3.8072e-05	4.54234e-05	768.357
8	4.54234e-05	5.33743e-05	530.24
9	5.33743e-05	6.19736e-05	530.24
10	6.19736e-05	7.12742e-05	543.924
11	7.12742e-05	8.13332e-05	543.924
12	8.13332e-05	9.22125e-05	766.241
13	9.22125e-05	0.000103979	766.241
14	0.000103979	0.000116705	1051.84
15	0.000116705	0.000130469	1051.84
16	0.000130469	0.000145355	1289.31
17	0.000145355	0.000161456	1289.31
18	0.000161456	0.000178869	1485.89
19	0.000178869	0.000197702	1485.89
20	0.000197702	0.000218072	1670.85
21	0.000218072	0.000240102	1670.85
22	0.000240102	0.000263929	1856.18
23	0.000263929	0.000289699	1856.18
24	0.000289699	0.00031757	2055.01
25	0.00031757	0.000347715	2055.01
26	0.000347715	0.000380317	2267.66
27	0.000380317	0.000415579	2267.66
28	0.000415579	0.000453716	2471.35
29	0.000453716	0.000494963	2471.35
30	0.000494963	0.000539574	2630.31
31	0.000539574	0.000587822	2630.31
32	0.000587822	0.000640006	2710.16
33	0.000640006	0.000696445	2710.16
34	0.000696445	0.000757486	2698.55
35	0.000757486	0.000823506	2698.55
36	0.000823506	0.000894909	2604.67
37	0.000894909	0.000972135	2604.67
38	0.000972135	0.00105566	2461.2
39	0.00105566	0.00114599	2461.2
40	0.00114599	0.0012437	2260.75
41	0.0012437	0.00134937	2260.75
42	0.00134937	0.00146365	2017.38
43	0.00146365	0.00158726	2017.38
44	0.00158726	0.00172095	1748.13
45	0.00172095	0.00186554	1748.13
46	0.00186554	0.00202192	1456.72
47	0.00202192	0.00219105	1456.72
48	0.00219105	0.00237398	1172.57
49	0.00237398	0.00257182	1172.57
50	0.00257182	0.0027858	963.692
51	0.0027858	0.00301723	963.692
52	0.00301723	0.00326753	914.928
53	0.00326753	0.00353824	914.928
54	0.00353824	0.00383103	1715.32
55	0.00383103	0.0041477	1715.32
56	0.0041477	0.00449019	1715.32
57	0.00449019	0.00486061	1715.32
58	0.00486061	0.00526124	1.92034
59	0.00526124	0.00569454	1.92034
60	0.00569454	0.00616318	1.92034
61	0.00616318	0.00667003	1.92034
62	0.00667003	0.00721821	1.92034
63	0.00721821	inf	1.92034
