time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.25932e-05	660.046
1	1.25932e-05	2.62134e-05	660.046
2	2.62134e-05	4.09443e-05	660.046
3	4.09443e-05	5.68765e-05	660.046
4	5.68765e-05	7.4108e-05	85.2299
5	7.4108e-05	9.27447e-05	85.2299
6	9.27447e-05	0.000112901	102.378
7	0.000112901	0.000134701	102.378
8	0.000134701	0.00015828	178.681
9	0.00015828	0.00018378	178.681
10	0.00018378	0.000211361	343.366
11	0.000211361	0.000241191	343.366
12	0.000241191	0.000273453	563.06
13	0.000273453	0.000308346	563.06
14	0.000308346	0.000346085	738.872
15	0.000346085	0.000386901	738.872
16	0.000386901	0.000431046	817.852
17	0.000431046	0.000478791	817.852
18	0.000478791	0.00053043	811.321
19	0.00053043	0.000586279	811.321
20	0.000586279	0.000646683	759.336
21	0.000646683	0.000712013	759.336
22	0.000712013	0.000782671	696.419
23	0.000782671	0.000859091	696.419
24	0.000859091	0.000941743	641.613
25	0.000941743	0.00103114	641.613
26	0.00103114	0.00112782	602.976
27	0.00112782	0.00123238	602.976
28	0.00123238	0.00134548	582.799
29	0.00134548	0.00146779	582.799
30	0.00146779	0.00160009	581.175
31	0.00160009	0.00174317	581.175
32	0.00174317	0.00189791	596.644
33	0.00189791	0.00206528	596.644
34	0.00206528	0.0022463	625.728
35	0.0022463	0.00244208	625.728
36	0.00244208	0.00265382	663.279
37	0.00265382	0.00288283	663.279
38	0.00288283	0.00313052	701.219
39	0.00313052	0.00339841	701.219
40	0.00339841	0.00368814	731.371
41	0.00368814	0.0040015	731.371
42	0.0040015	0.00434041	750.104
43	0.00434041	0.00470696	750.104
44	0.00470696	0.00510341	756.976
45	0.00510341	0.00553219	756.976
46	0.00553219	0.00599593	752.835
47	0.00599593	0.00649749	752.835
48	0.00649749	0.00703995	736.637
49	0.00703995	0.00762665	736.637
50	0.00762665	0.00826119	706.107
51	0.00826119	0.00894748	706.107
52	0.00894748	0.00968974	661.09
53	0.00968974	0.0104925	661.09
54	0.0104925	0.0113608	595.627
55	0.0113608	0.0122999	595.627
56	0.0122999	0.0133155	595.627
57	0.0133155	0.014414	595.627
58	0.014414	0.015602	9.00614
59	0.015602	0.0168869	9.00614
60	0.0168869	0.0182767	9.00614
61	0.0182767	0.0197797	9.00614
62	0.0197797	0.0214053	9.00614
63	0.0214053	inf	9.00614
