time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.90269e-05	91.5885
1	2.90269e-05	6.04209e-05	91.5885
2	6.04209e-05	9.43752e-05	91.5885
3	9.43752e-05	0.000131098	91.5885
4	0.000131098	0.000170816	3.77431
5	0.000170816	0.000213773	3.77431
6	0.000213773	0.000260233	12.1645
7	0.000260233	0.000310482	12.1645
8	0.000310482	0.000364829	15.26
9	0.000364829	0.000423607	15.26
10	0.000423607	0.000487179	22.0566
11	0.000487179	0.000555936	22.0566
12	0.000555936	0.000630299	17.2268
13	0.000630299	0.000710727	17.2268
14	0.000710727	0.000797713	20.9786
15	0.000797713	0.000891793	20.9786
16	0.000891793	0.000993546	37.1308
17	0.000993546	0.0011036	37.1308
18	0.0011036	0.00122262	78.7045
19	0.00122262	0.00135135	78.7045
20	0.00135135	0.00149058	153.284
21	0.00149058	0.00164117	153.284
22	0.00164117	0.00180403	240.764
23	0.00180403	0.00198017	240.764
24	0.00198017	0.00217068	301.827
25	0.00217068	0.00237673	301.827
26	0.00237673	0.00259958	323.834
27	0.00259958	0.0028406	323.834
28	0.0028406	0.00310128	334.873
29	0.00310128	0.00338321	334.873
30	0.00338321	0.00368814	376.458
31	0.00368814	0.00401793	376.458
32	0.00401793	0.00437462	487.249
33	0.00437462	0.0047604	487.249
34	0.0047604	0.00517764	695.425
35	0.00517764	0.0056289	695.425
36	0.0056289	0.00611696	975.849
37	0.00611696	0.00664482	975.849
38	0.00664482	0.00721573	1220.14
39	0.00721573	0.0078332	1220.14
40	0.0078332	0.00850103	1345.46
41	0.00850103	0.00922331	1345.46
42	0.00922331	0.0100045	1353.16
43	0.0100045	0.0108494	1353.16
44	0.0108494	0.0117632	1270.36
45	0.0117632	0.0127515	1270.36
46	0.0127515	0.0138204	1122.5
47	0.0138204	0.0149765	1122.5
48	0.0149765	0.0162268	945.975
49	0.0162268	0.0175792	945.975
50	0.0175792	0.0190418	770.743
51	0.0190418	0.0206236	770.743
52	0.0206236	0.0223345	617.314
53	0.0223345	0.0241849	617.314
54	0.0241849	0.0261862	468.317
55	0.0261862	0.0283507	468.317
56	0.0283507	0.0306917	468.317
57	0.0306917	0.0332237	468.317
58	0.0332237	0.0359621	318.083
59	0.0359621	0.0389238	318.083
60	0.0389238	0.0421271	318.083
61	0.0421271	0.0455915	318.083
62	0.0455915	0.0493386	318.083
63	0.0493386	inf	318.083
