time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.12694e-05	345.617
1	1.12694e-05	2.34578e-05	345.617
2	2.34578e-05	3.66402e-05	345.617
3	3.66402e-05	5.08976e-05	345.617
4	5.08976e-05	6.63176e-05	577.262
5	6.63176e-05	8.29952e-05	577.262
6	8.29952e-05	0.000101033	511.293
7	0.000101033	0.000120541	511.293
8	0.000120541	0.000141641	488.164
9	0.000141641	0.000164461	488.164
10	0.000164461	0.000189142	426.228
11	0.000189142	0.000215836	426.228
12	0.000215836	0.000244707	400.374
13	0.000244707	0.000275932	400.374
14	0.000275932	0.000309704	422.278
15	0.000309704	0.00034623	422.278
16	0.00034623	0.000385734	487.148
17	0.000385734	0.00042846	487.148
18	0.00042846	0.00047467	590.211
19	0.00047467	0.000524649	590.211
20	0.000524649	0.000578703	711.469
21	0.000578703	0.000637165	711.469
22	0.000637165	0.000700396	822.144
23	0.000700396	0.000768782	822.144
24	0.000768782	0.000842745	892.563
25	0.000842745	0.000922741	892.563
26	0.000922741	0.00100926	909.515
27	0.00100926	0.00110283	909.515
28	0.00110283	0.00120404	880.823
29	0.00120404	0.0013135	880.823
30	0.0013135	0.00143188	826.486
31	0.00143188	0.00155992	826.486
32	0.00155992	0.0016984	765.393
33	0.0016984	0.00184818	765.393
34	0.00184818	0.00201016	710.811
35	0.00201016	0.00218536	710.811
36	0.00218536	0.00237485	672.774
37	0.00237485	0.00257978	672.774
38	0.00257978	0.00280143	660.157
39	0.00280143	0.00304116	660.157
40	0.00304116	0.00330043	679.465
41	0.00330043	0.00358085	679.465
42	0.00358085	0.00388414	734.435
43	0.00388414	0.00421216	734.435
44	0.00421216	0.00456693	823.122
45	0.00456693	0.00495063	823.122
46	0.00495063	0.00536563	931.535
47	0.00536563	0.00581446	931.535
48	0.00581446	0.0062999	1039.48
49	0.0062999	0.00682492	1039.48
50	0.00682492	0.00739276	1114.13
51	0.00739276	0.00800691	1114.13
52	0.00800691	0.00867114	1135.72
53	0.00867114	0.00938954	1135.72
54	0.00938954	0.0101665	1078.34
55	0.0101665	0.0110069	1078.34
56	0.0110069	0.0119158	1078.34
57	0.0119158	0.0128987	1078.34
58	0.0128987	0.0139619	862.907
59	0.0139619	0.0151118	862.907
60	0.0151118	0.0163554	862.907
61	0.0163554	0.0177004	862.907
62	0.0177004	0.0191552	862.907
63	0.0191552	inf	862.907
