time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.58194e-05	494.31
1	1.58194e-05	3.29289e-05	494.31
2	3.29289e-05	5.14337e-05	494.31
3	5.14337e-05	7.14475e-05	494.31
4	7.14475e-05	9.30935e-05	338.21
5	9.30935e-05	0.000116505	338.21
6	0.000116505	0.000141825	193.503
7	0.000141825	0.00016921	193.503
8	0.00016921	0.000198829	194.254
9	0.000198829	0.000230863	194.254
10	0.000230863	0.000265509	224.058
11	0.000265509	0.00030298	224.058
12	0.00030298	0.000343508	248.836
13	0.000343508	0.00038734	248.836
14	0.00038734	0.000434747	265.253
15	0.000434747	0.00048602	265.253
16	0.00048602	0.000541474	294.232
17	0.000541474	0.000601451	294.232
18	0.000601451	0.000666319	344.954
19	0.000666319	0.000736476	344.954
20	0.000736476	0.000812355	413.423
21	0.000812355	0.000894422	413.423
22	0.000894422	0.000983181	483.305
23	0.000983181	0.00107918	483.305
24	0.00107918	0.001183	537.346
25	0.001183	0.0012953	537.346
26	0.0012953	0.00141675	567.536
27	0.00141675	0.0015481	567.536
28	0.0015481	0.00169017	578.72
29	0.00169017	0.00184382	578.72
30	0.00184382	0.00201001	581.149
31	0.00201001	0.00218974	581.149
32	0.00218974	0.00238413	585.834
33	0.00238413	0.00259438	585.834
34	0.00259438	0.00282177	602.437
35	0.00282177	0.0030677	602.437
36	0.0030677	0.00333369	640.873
37	0.00333369	0.00362137	640.873
38	0.00362137	0.00393252	708.68
39	0.00393252	0.00426903	708.68
40	0.00426903	0.00463299	806.823
41	0.00463299	0.00502663	806.823
42	0.00502663	0.00545237	921.19
43	0.00545237	0.00591283	921.19
44	0.00591283	0.00641084	1029.66
45	0.00641084	0.00694946	1029.66
46	0.00694946	0.007532	1105.02
47	0.007532	0.00816206	1105.02
48	0.00816206	0.00884349	1138.52
49	0.00884349	0.00958049	1138.52
50	0.00958049	0.0103776	1132.9
51	0.0103776	0.0112397	1132.9
52	0.0112397	0.0121721	1085.82
53	0.0121721	0.0131806	1085.82
54	0.0131806	0.0142713	963.527
55	0.0142713	0.0154509	963.527
56	0.0154509	0.0167267	963.527
57	0.0167267	0.0181066	963.527
58	0.0181066	0.019599	697.31
59	0.019599	0.0212132	697.31
60	0.0212132	0.0229589	697.31
61	0.0229589	0.024847	697.31
62	0.024847	0.0268891	697.31
63	0.0268891	inf	697.31
