time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.81923e-06	1708.02
1	8.81923e-06	1.83577e-05	1708.02
2	1.83577e-05	2.8674e-05	1708.02
3	2.8674e-05	3.98315e-05	1708.02
4	3.98315e-05	5.1899e-05	3649.3
5	5.1899e-05	6.49506e-05	3649.3
6	6.49506e-05	7.90666e-05	1087.41
7	7.90666e-05	9.43336e-05	1087.41
8	9.43336e-05	0.000110846	636.345
9	0.000110846	0.000128704	636.345
10	0.000128704	0.000148019	590.847
11	0.000148019	0.00016891	590.847
12	0.00016891	0.000191503	602.717
13	0.000191503	0.00021594	602.717
14	0.00021594	0.000242369	669.084
15	0.000242369	0.000270953	669.084
16	0.000270953	0.000301869	784.545
17	0.000301869	0.000335305	784.545
18	0.000335305	0.000371468	865.503
19	0.000371468	0.000410581	865.503
20	0.000410581	0.000452883	857.637
21	0.000452883	0.000498635	857.637
22	0.000498635	0.000548117	829.823
23	0.000548117	0.000601635	829.823
24	0.000601635	0.000659518	828.464
25	0.000659518	0.000722121	828.464
26	0.000722121	0.000789829	849.989
27	0.000789829	0.000863058	849.989
28	0.000863058	0.00094226	844.515
29	0.00094226	0.00102792	844.515
30	0.00102792	0.00112057	759.916
31	0.00112057	0.00122077	759.916
32	0.00122077	0.00132914	607.434
33	0.00132914	0.00144635	607.434
34	0.00144635	0.00157312	480.843
35	0.00157312	0.00171023	480.843
36	0.00171023	0.00185851	431.392
37	0.00185851	0.00201889	431.392
38	0.00201889	0.00219235	448.594
39	0.00219235	0.00237996	448.594
40	0.00237996	0.00258286	527.183
41	0.00258286	0.00280231	527.183
42	0.00280231	0.00303966	674.946
43	0.00303966	0.00329636	674.946
44	0.00329636	0.003574	885.099
45	0.003574	0.00387428	885.099
46	0.00387428	0.00419904	1119.63
47	0.00419904	0.0045503	1119.63
48	0.0045503	0.00493019	1309.82
49	0.00493019	0.00534107	1309.82
50	0.00534107	0.00578545	1400.91
51	0.00578545	0.00626607	1400.91
52	0.00626607	0.00678588	1394.01
53	0.00678588	0.00734809	1394.01
54	0.00734809	0.00795615	1279.14
55	0.00795615	0.00861379	1279.14
56	0.00861379	0.00932506	1279.14
57	0.00932506	0.0100943	1279.14
58	0.0100943	0.0109263	912.34
59	0.0109263	0.0118262	912.34
60	0.0118262	0.0127994	912.34
61	0.0127994	0.0138521	912.34
62	0.0138521	0.0149905	912.34
63	0.0149905	inf	912.34
