time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.73615e-06	1755.36
1	7.73615e-06	1.61032e-05	1755.36
2	1.61032e-05	2.51526e-05	1755.36
3	2.51526e-05	3.49399e-05	1755.36
4	3.49399e-05	4.55254e-05	2979.64
5	4.55254e-05	5.69741e-05	2979.64
6	5.69741e-05	6.93565e-05	1766.21
7	6.93565e-05	8.27487e-05	1766.21
8	8.27487e-05	9.7233e-05	1432.21
9	9.7233e-05	0.000112898	1432.21
10	0.000112898	0.000129841	1440.59
11	0.000129841	0.000148166	1440.59
12	0.000148166	0.000167985	1555.5
13	0.000167985	0.000189421	1555.5
14	0.000189421	0.000212604	1607.79
15	0.000212604	0.000237678	1607.79
16	0.000237678	0.000264797	1573.47
17	0.000264797	0.000294127	1573.47
18	0.000294127	0.000325849	1469.78
19	0.000325849	0.000360158	1469.78
20	0.000360158	0.000397265	1315.57
21	0.000397265	0.000437398	1315.57
22	0.000437398	0.000480804	1127.47
23	0.000480804	0.000527749	1127.47
24	0.000527749	0.000578523	945.868
25	0.000578523	0.000633438	945.868
26	0.000633438	0.000692831	800.588
27	0.000692831	0.000757067	800.588
28	0.000757067	0.000826542	693.088
29	0.000826542	0.000901683	693.088
30	0.000901683	0.000982951	611.064
31	0.000982951	0.00107085	611.064
32	0.00107085	0.00116591	548.286
33	0.00116591	0.00126873	548.286
34	0.00126873	0.00137993	500.453
35	0.00137993	0.00150019	500.453
36	0.00150019	0.00163027	462.251
37	0.00163027	0.00177096	462.251
38	0.00177096	0.00192311	431.649
39	0.00192311	0.00208768	431.649
40	0.00208768	0.00226566	407.679
41	0.00226566	0.00245817	407.679
42	0.00245817	0.00266636	389.794
43	0.00266636	0.00289154	389.794
44	0.00289154	0.00313508	382.172
45	0.00313508	0.00339848	382.172
46	0.00339848	0.00368337	387.13
47	0.00368337	0.00399148	387.13
48	0.00399148	0.00432472	409.999
49	0.00432472	0.00468514	409.999
50	0.00468514	0.00507495	459.329
51	0.00507495	0.00549654	459.329
52	0.00549654	0.00595252	551.585
53	0.00595252	0.00644568	551.585
54	0.00644568	0.00697906	883.592
55	0.00697906	0.00755594	883.592
56	0.00755594	0.00817986	883.592
57	0.00817986	0.00885466	883.592
58	0.00885466	0.0095845	1.05414
59	0.0095845	0.0103738	1.05414
60	0.0103738	0.0112276	1.05414
61	0.0112276	0.0121509	1.05414
62	0.0121509	0.0131495	1.05414
63	0.0131495	inf	1.05414
