time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.0397e-05	371.875
1	2.0397e-05	4.24573e-05	371.875
2	4.24573e-05	6.63167e-05	371.875
3	6.63167e-05	9.21217e-05	371.875
4	9.21217e-05	0.000120031	137.507
5	0.000120031	0.000150217	137.507
6	0.000150217	0.000182864	97.1101
7	0.000182864	0.000218173	97.1101
8	0.000218173	0.000256362	166.083
9	0.000256362	0.000297665	166.083
10	0.000297665	0.000342337	316.821
11	0.000342337	0.000390651	316.821
12	0.000390651	0.000442906	486.711
13	0.000442906	0.000499422	486.711
14	0.000499422	0.000560547	578.803
15	0.000560547	0.000626656	578.803
16	0.000626656	0.000698157	562.029
17	0.000698157	0.000775488	562.029
18	0.000775488	0.000859126	482.936
19	0.000859126	0.000949584	482.936
20	0.000949584	0.00104742	394.407
21	0.00104742	0.00115323	394.407
22	0.00115323	0.00126768	321.959
23	0.00126768	0.00139145	321.959
24	0.00139145	0.00152532	272.008
25	0.00152532	0.00167011	272.008
26	0.00167011	0.0018267	243.67
27	0.0018267	0.00199607	243.67
28	0.00199607	0.00217924	235.156
29	0.00217924	0.00237736	235.156
30	0.00237736	0.00259163	247.851
31	0.00259163	0.00282337	247.851
32	0.00282337	0.00307401	285.184
33	0.00307401	0.00334509	285.184
34	0.00334509	0.00363828	353.456
35	0.00363828	0.00395538	353.456
36	0.00395538	0.00429834	457.982
37	0.00429834	0.00466926	457.982
38	0.00466926	0.00507044	596.346
39	0.00507044	0.00550433	596.346
40	0.00550433	0.0059736	747.631
41	0.0059736	0.00648114	747.631
42	0.00648114	0.00703008	876.243
43	0.00703008	0.00762378	876.243
44	0.00762378	0.00826589	958.203
45	0.00826589	0.00896037	958.203
46	0.00896037	0.00971148	983.995
47	0.00971148	0.0105238	983.995
48	0.0105238	0.0114025	961.246
49	0.0114025	0.0123527	961.246
50	0.0123527	0.0133805	905.117
51	0.0133805	0.0144921	905.117
52	0.0144921	0.0156943	829.727
53	0.0156943	0.0169945	829.727
54	0.0169945	0.0184008	718.301
55	0.0184008	0.0199218	718.301
56	0.0199218	0.0215668	718.301
57	0.0215668	0.023346	718.301
58	0.023346	0.0252703	548.928
59	0.0252703	0.0273514	548.928
60	0.0273514	0.0296023	548.928
61	0.0296023	0.0320368	548.928
62	0.0320368	0.0346698	548.928
63	0.0346698	inf	548.928
