time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.31424e-06	1385.07
1	4.31424e-06	8.9803e-06	1385.07
2	8.9803e-06	1.40269e-05	1385.07
3	1.40269e-05	1.9485e-05	1385.07
4	1.9485e-05	2.53882e-05	346.08
5	2.53882e-05	3.17729e-05	346.08
6	3.17729e-05	3.86782e-05	135.189
7	3.86782e-05	4.61466e-05	135.189
8	4.61466e-05	5.42241e-05	71.8295
9	5.42241e-05	6.29603e-05	71.8295
10	6.29603e-05	7.24089e-05	41.062
11	7.24089e-05	8.26281e-05	41.062
12	8.26281e-05	9.36807e-05	23.0521
13	9.36807e-05	0.000105635	23.0521
14	0.000105635	0.000118563	12.9354
15	0.000118563	0.000132546	12.9354
16	0.000132546	0.00014767	6.55559
17	0.00014767	0.000164026	6.55559
18	0.000164026	0.000181717	2.99746
19	0.000181717	0.00020085	2.99746
20	0.00020085	0.000221544	1.89961
21	0.000221544	0.000243925	1.89961
22	0.000243925	0.000268131	1.89025
23	0.000268131	0.000294311	1.89025
24	0.000294311	0.000322626	1.89025
25	0.000322626	0.000353251	1.89025
26	0.000353251	0.000386373	1.89025
27	0.000386373	0.000422195	1.89025
28	0.000422195	0.00046094	1.89025
29	0.00046094	0.000502843	1.89025
30	0.000502843	0.000548164	1.89025
31	0.000548164	0.000597181	1.89025
32	0.000597181	0.000650195	1.89025
33	0.000650195	0.000707533	1.89025
34	0.000707533	0.000769546	1.89025
35	0.000769546	0.000836617	1.89025
36	0.000836617	0.000909157	1.89025
37	0.000909157	0.000987613	1.89025
38	0.000987613	0.00107247	1.89025
39	0.00107247	0.00116424	1.89025
40	0.00116424	0.0012635	1.89025
41	0.0012635	0.00137085	1.89025
42	0.00137085	0.00148696	1.89025
43	0.00148696	0.00161253	1.89025
44	0.00161253	0.00174835	1.89025
45	0.00174835	0.00189524	1.89025
46	0.00189524	0.00205411	1.89025
47	0.00205411	0.00222594	1.89025
48	0.00222594	0.00241178	1.89025
49	0.00241178	0.00261277	1.89025
50	0.00261277	0.00283016	1.89025
51	0.00283016	0.00306527	1.89025
52	0.00306527	0.00331955	1.89025
53	0.00331955	0.00359458	1.89025
54	0.00359458	0.00389203	1.89025
55	0.00389203	0.00421374	1.89025
56	0.00421374	0.00456168	1.89025
57	0.00456168	0.004938	1.89025
58	0.004938	0.00534501	1.89025
59	0.00534501	0.0057852	1.89025
60	0.0057852	0.0062613	1.89025
61	0.0062613	0.00677622	1.89025
62	0.00677622	0.00733314	1.89025
63	0.00733314	inf	1.89025
