time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.16929e-05	94.1493
1	2.16929e-05	4.51548e-05	94.1493
2	4.51548e-05	7.053e-05	94.1493
3	7.053e-05	9.79745e-05	94.1493
4	9.79745e-05	0.000127657	111.582
5	0.000127657	0.00015976	111.582
6	0.00015976	0.000194482	97.4922
7	0.000194482	0.000232035	97.4922
8	0.000232035	0.00027265	114.599
9	0.00027265	0.000316577	114.599
10	0.000316577	0.000364087	129.388
11	0.000364087	0.000415471	129.388
12	0.000415471	0.000471045	159.884
13	0.000471045	0.000531152	159.884
14	0.000531152	0.00059616	210.534
15	0.00059616	0.00066647	210.534
16	0.00066647	0.000742513	271.246
17	0.000742513	0.000824758	271.246
18	0.000824758	0.000913709	320.594
19	0.000913709	0.00100991	320.594
20	0.00100991	0.00111397	343.131
21	0.00111397	0.0012265	343.131
22	0.0012265	0.00134822	342.844
23	0.00134822	0.00147986	342.844
24	0.00147986	0.00162223	336.555
25	0.00162223	0.00177622	336.555
26	0.00177622	0.00194276	338.483
27	0.00194276	0.00212288	338.483
28	0.00212288	0.0023177	356.566
29	0.0023177	0.0025284	356.566
30	0.0025284	0.00275628	395.856
31	0.00275628	0.00300275	395.856
32	0.00300275	0.00326931	459.667
33	0.00326931	0.00355762	459.667
34	0.00355762	0.00386943	546.834
35	0.00386943	0.00420668	546.834
36	0.00420668	0.00457143	649.896
37	0.00457143	0.00496592	649.896
38	0.00496592	0.00539258	753.332
39	0.00539258	0.00585404	753.332
40	0.00585404	0.00635312	834.125
41	0.00635312	0.00689291	834.125
42	0.00689291	0.00747672	876.919
43	0.00747672	0.00810814	876.919
44	0.00810814	0.00879105	880.813
45	0.00879105	0.00952965	880.813
46	0.00952965	0.0103285	844.735
47	0.0103285	0.0111925	844.735
48	0.0111925	0.0121269	754.735
49	0.0121269	0.0131375	754.735
50	0.0131375	0.0142306	595.885
51	0.0142306	0.0154128	595.885
52	0.0154128	0.0166914	405.858
53	0.0166914	0.0180743	405.858
54	0.0180743	0.0195699	281.142
55	0.0195699	0.0211875	281.142
56	0.0211875	0.0229371	281.142
57	0.0229371	0.0248293	281.142
58	0.0248293	0.0268758	204.4
59	0.0268758	0.0290892	204.4
60	0.0290892	0.0314831	204.4
61	0.0314831	0.0340722	204.4
62	0.0340722	0.0368725	204.4
63	0.0368725	inf	204.4
