time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.21121e-05	902.791
1	1.21121e-05	2.52119e-05	902.791
2	2.52119e-05	3.93801e-05	902.791
3	3.93801e-05	5.47036e-05	902.791
4	5.47036e-05	7.12768e-05	774.613
5	7.12768e-05	8.92015e-05	774.613
6	8.92015e-05	0.000108588	534.771
7	0.000108588	0.000129555	534.771
8	0.000129555	0.000152233	697.029
9	0.000152233	0.000176759	697.029
10	0.000176759	0.000203286	633.361
11	0.000203286	0.000231976	633.361
12	0.000231976	0.000263006	530.826
13	0.000263006	0.000296566	530.826
14	0.000296566	0.000332863	512.405
15	0.000332863	0.00037212	512.405
16	0.00037212	0.000414578	545.672
17	0.000414578	0.000460499	545.672
18	0.000460499	0.000510165	626.303
19	0.000510165	0.000563881	626.303
20	0.000563881	0.000621977	727.592
21	0.000621977	0.000684812	727.592
22	0.000684812	0.00075277	792.936
23	0.00075277	0.00082627	792.936
24	0.00082627	0.000905765	783.005
25	0.000905765	0.000991742	783.005
26	0.000991742	0.00108473	706.464
27	0.00108473	0.0011853	706.464
28	0.0011853	0.00129407	605.24
29	0.00129407	0.00141172	605.24
30	0.00141172	0.00153896	520.947
31	0.00153896	0.00167657	520.947
32	0.00167657	0.00182541	468.744
33	0.00182541	0.00198638	468.744
34	0.00198638	0.00216048	448.662
35	0.00216048	0.00234878	448.662
36	0.00234878	0.00255243	457.168
37	0.00255243	0.0027727	457.168
38	0.0027727	0.00301092	494.338
39	0.00301092	0.00326857	494.338
40	0.00326857	0.00354724	561.518
41	0.00354724	0.00384862	561.518
42	0.00384862	0.00417459	653.733
43	0.00417459	0.00452714	653.733
44	0.00452714	0.00490844	755.893
45	0.00490844	0.00532083	755.893
46	0.00532083	0.00576686	846.411
47	0.00576686	0.00624926	846.411
48	0.00624926	0.00677099	905.086
49	0.00677099	0.00733528	905.086
50	0.00733528	0.00794558	921.626
51	0.00794558	0.00860565	921.626
52	0.00860565	0.00931956	900.956
53	0.00931956	0.0100917	900.956
54	0.0100917	0.0109268	840.1
55	0.0109268	0.0118299	840.1
56	0.0118299	0.0128068	840.1
57	0.0128068	0.0138633	840.1
58	0.0138633	0.015006	672.785
59	0.015006	0.0162418	672.785
60	0.0162418	0.0175784	672.785
61	0.0175784	0.0190241	672.785
62	0.0190241	0.0205876	672.785
63	0.0205876	inf	672.785
