time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.32942e-05	321.756
1	1.32942e-05	2.76726e-05	321.756
2	2.76726e-05	4.32235e-05	321.756
3	4.32235e-05	6.00425e-05	321.756
4	6.00425e-05	7.82332e-05	553.12
5	7.82332e-05	9.79073e-05	553.12
6	9.79073e-05	0.000119186	478.55
7	0.000119186	0.0001422	478.55
8	0.0001422	0.00016709	439.265
9	0.00016709	0.000194011	439.265
10	0.000194011	0.000223126	423.781
11	0.000223126	0.000254616	423.781
12	0.000254616	0.000288675	422.988
13	0.000288675	0.00032551	422.988
14	0.00032551	0.00036535	428.245
15	0.00036535	0.000408438	428.245
16	0.000408438	0.00045504	439.725
17	0.00045504	0.000505443	439.725
18	0.000505443	0.000559956	459.209
19	0.000559956	0.000618914	459.209
20	0.000618914	0.000682681	487.316
21	0.000682681	0.000751647	487.316
22	0.000751647	0.000826238	522.793
23	0.000826238	0.000906912	522.793
24	0.000906912	0.000994165	563.056
25	0.000994165	0.00108853	563.056
26	0.00108853	0.0011906	605.484
27	0.0011906	0.00130098	605.484
28	0.00130098	0.00142037	648.539
29	0.00142037	0.0015495	648.539
30	0.0015495	0.00168915	690.873
31	0.00168915	0.0018402	690.873
32	0.0018402	0.00200356	728.886
33	0.00200356	0.00218024	728.886
34	0.00218024	0.00237134	759.003
35	0.00237134	0.00257801	759.003
36	0.00257801	0.00280154	779.283
37	0.00280154	0.0030433	779.283
38	0.0030433	0.00330478	789.108
39	0.00330478	0.00358758	789.108
40	0.00358758	0.00389344	789.332
41	0.00389344	0.00422424	789.332
42	0.00422424	0.00458202	781.647
43	0.00458202	0.00496898	781.647
44	0.00496898	0.00538749	767.843
45	0.00538749	0.00584013	767.843
46	0.00584013	0.00632969	749.42
47	0.00632969	0.00685917	749.42
48	0.00685917	0.00743183	726.392
49	0.00743183	0.00805118	726.392
50	0.00805118	0.00872105	697.523
51	0.00872105	0.00944554	697.523
52	0.00944554	0.0102291	661.378
53	0.0102291	0.0110766	661.378
54	0.0110766	0.0119932	599.934
55	0.0119932	0.0129845	599.934
56	0.0129845	0.0140567	599.934
57	0.0140567	0.0152163	599.934
58	0.0152163	0.0164705	299.633
59	0.0164705	0.017827	299.633
60	0.017827	0.019294	299.633
61	0.019294	0.0208808	299.633
62	0.0208808	0.0225969	299.633
63	0.0225969	inf	299.633
