time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.19989e-05	1435.18
1	1.19989e-05	2.49764e-05	1435.18
2	2.49764e-05	3.90121e-05	1435.18
3	3.90121e-05	5.41925e-05	1435.18
4	5.41925e-05	7.06108e-05	191.547
5	7.06108e-05	8.83681e-05	191.547
6	8.83681e-05	0.000107573	327.6
7	0.000107573	0.000128345	327.6
8	0.000128345	0.00015081	329.481
9	0.00015081	0.000175108	329.481
10	0.000175108	0.000201387	322.579
11	0.000201387	0.000229809	322.579
12	0.000229809	0.000260549	324.272
13	0.000260549	0.000293795	324.272
14	0.000293795	0.000329753	342.983
15	0.000329753	0.000368643	342.983
16	0.000368643	0.000410705	377.123
17	0.000410705	0.000456197	377.123
18	0.000456197	0.000505399	413.115
19	0.000505399	0.000558613	413.115
20	0.000558613	0.000616166	449.818
21	0.000616166	0.000678413	449.818
22	0.000678413	0.000745737	490.698
23	0.000745737	0.00081855	490.698
24	0.00081855	0.000897302	535.027
25	0.000897302	0.000982476	535.027
26	0.000982476	0.0010746	578.57
27	0.0010746	0.00117423	578.57
28	0.00117423	0.00128198	618.167
29	0.00128198	0.00139853	618.167
30	0.00139853	0.00152458	654.581
31	0.00152458	0.00166091	654.581
32	0.00166091	0.00180835	690.035
33	0.00180835	0.00196782	690.035
34	0.00196782	0.00214029	725.339
35	0.00214029	0.00232683	725.339
36	0.00232683	0.00252859	760.892
37	0.00252859	0.00274679	760.892
38	0.00274679	0.00298279	797.499
39	0.00298279	0.00323803	797.499
40	0.00323803	0.00351409	837.436
41	0.00351409	0.00381267	837.436
42	0.00381267	0.00413559	884.866
43	0.00413559	0.00448484	884.866
44	0.00448484	0.00486258	941.84
45	0.00486258	0.00527112	941.84
46	0.00527112	0.00571298	1006.76
47	0.00571298	0.00619087	1006.76
48	0.00619087	0.00670773	1069.46
49	0.00670773	0.00726675	1069.46
50	0.00726675	0.00787135	1117.03
51	0.00787135	0.00852525	1117.03
52	0.00852525	0.00923248	1134.78
53	0.00923248	0.00999739	1134.78
54	0.00999739	0.0108247	1106.65
55	0.0108247	0.0117194	1106.65
56	0.0117194	0.0126871	1106.65
57	0.0126871	0.0137338	1106.65
58	0.0137338	0.0148658	984.402
59	0.0148658	0.0160901	984.402
60	0.0160901	0.0174142	984.402
61	0.0174142	0.0188463	984.402
62	0.0188463	0.0203952	984.402
63	0.0203952	inf	984.402
