time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.42995e-06	835.054
1	7.42995e-06	1.54658e-05	835.054
2	1.54658e-05	2.4157e-05	835.054
3	2.4157e-05	3.35569e-05	835.054
4	3.35569e-05	4.37234e-05	991.45
5	4.37234e-05	5.4719e-05	991.45
6	5.4719e-05	6.66113e-05	725.797
7	6.66113e-05	7.94734e-05	725.797
8	7.94734e-05	9.33843e-05	703.836
9	9.33843e-05	0.00010843	703.836
10	0.00010843	0.000124702	742.398
11	0.000124702	0.000142301	742.398
12	0.000142301	0.000161336	789.591
13	0.000161336	0.000181923	789.591
14	0.000181923	0.000204189	872.326
15	0.000204189	0.00022827	872.326
16	0.00022827	0.000254316	982.163
17	0.000254316	0.000282485	982.163
18	0.000282485	0.000312951	1092.28
19	0.000312951	0.000345902	1092.28
20	0.000345902	0.000381541	1187.08
21	0.000381541	0.000420085	1187.08
22	0.000420085	0.000461773	1261.96
23	0.000461773	0.00050686	1261.96
24	0.00050686	0.000555625	1312.5
25	0.000555625	0.000608366	1312.5
26	0.000608366	0.000665408	1330.25
27	0.000665408	0.000727101	1330.25
28	0.000727101	0.000793826	1309.45
29	0.000793826	0.000865993	1309.45
30	0.000865993	0.000944044	1253.42
31	0.000944044	0.00102846	1253.42
32	0.00102846	0.00111976	1174.19
33	0.00111976	0.00121851	1174.19
34	0.00121851	0.00132531	1085.36
35	0.00132531	0.00144082	1085.36
36	0.00144082	0.00156574	997.738
37	0.00156574	0.00170086	997.738
38	0.00170086	0.00184699	917.442
39	0.00184699	0.00200505	917.442
40	0.00200505	0.00217599	849.49
41	0.00217599	0.00236087	849.49
42	0.00236087	0.00256083	800.567
43	0.00256083	0.00277709	800.567
44	0.00277709	0.00301099	772.86
45	0.00301099	0.00326397	772.86
46	0.00326397	0.00353757	773.798
47	0.00353757	0.00383349	773.798
48	0.00383349	0.00415354	795.691
49	0.00415354	0.00449969	795.691
50	0.00449969	0.00487407	838.691
51	0.00487407	0.00527898	838.691
52	0.00527898	0.00571691	900.276
53	0.00571691	0.00619055	900.276
54	0.00619055	0.00670282	996.265
55	0.00670282	0.00725686	996.265
56	0.00725686	0.00785609	996.265
57	0.00785609	0.00850418	996.265
58	0.00850418	0.00920513	1021.46
59	0.00920513	0.00996323	1021.46
60	0.00996323	0.0107832	1021.46
61	0.0107832	0.01167	1021.46
62	0.01167	0.0126291	1021.46
63	0.0126291	inf	1021.46
