time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.77275e-06	603.228
1	6.77275e-06	1.40978e-05	603.228
2	1.40978e-05	2.20203e-05	603.228
3	2.20203e-05	3.05888e-05	603.228
4	3.05888e-05	3.9856e-05	260.293
5	3.9856e-05	4.9879e-05	260.293
6	4.9879e-05	6.07194e-05	315.694
7	6.07194e-05	7.24438e-05	315.694
8	7.24438e-05	8.51243e-05	821.165
9	8.51243e-05	9.8839e-05	821.165
10	9.8839e-05	0.000113672	1500.33
11	0.000113672	0.000129715	1500.33
12	0.000129715	0.000147066	1490.72
13	0.000147066	0.000165832	1490.72
14	0.000165832	0.000186128	1270.88
15	0.000186128	0.000208079	1270.88
16	0.000208079	0.000231821	1119.71
17	0.000231821	0.000257499	1119.71
18	0.000257499	0.00028527	1037.73
19	0.00028527	0.000315307	1037.73
20	0.000315307	0.000347793	995.115
21	0.000347793	0.000382928	995.115
22	0.000382928	0.000420928	966.335
23	0.000420928	0.000462028	966.335
24	0.000462028	0.000506479	946.238
25	0.000506479	0.000554555	946.238
26	0.000554555	0.000606551	946.934
27	0.000606551	0.000662788	946.934
28	0.000662788	0.000723611	979.489
29	0.000723611	0.000789394	979.489
30	0.000789394	0.000860542	1048.24
31	0.000860542	0.000937492	1048.24
32	0.000937492	0.00102072	1152.09
33	0.00102072	0.00111073	1152.09
34	0.00111073	0.00120808	1286.62
35	0.00120808	0.00131337	1286.62
36	0.00131337	0.00142725	1433.63
37	0.00142725	0.00155042	1433.63
38	0.00155042	0.00168362	1559.3
39	0.00168362	0.0018277	1559.3
40	0.0018277	0.00198352	1626.08
41	0.00198352	0.00215204	1626.08
42	0.00215204	0.00233432	1607.34
43	0.00233432	0.00253145	1607.34
44	0.00253145	0.00274466	1499.24
45	0.00274466	0.00297526	1499.24
46	0.00297526	0.00322467	1341.13
47	0.00322467	0.00349441	1341.13
48	0.00349441	0.00378615	1194.39
49	0.00378615	0.00410169	1194.39
50	0.00410169	0.00444295	1108.74
51	0.00444295	0.00481205	1108.74
52	0.00481205	0.00521124	1099.56
53	0.00521124	0.00564299	1099.56
54	0.00564299	0.00610995	1315.59
55	0.00610995	0.00661498	1315.59
56	0.00661498	0.00716121	1315.59
57	0.00716121	0.00775197	1315.59
58	0.00775197	0.00839092	1.20409
59	0.00839092	0.00908197	1.20409
60	0.00908197	0.00982937	1.20409
61	0.00982937	0.0106377	1.20409
62	0.0106377	0.011512	1.20409
63	0.011512	inf	1.20409
