time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.11269e-05	2193.67
1	1.11269e-05	2.31613e-05	2193.67
2	2.31613e-05	3.6177e-05	2193.67
3	3.6177e-05	5.02542e-05	2193.67
4	5.02542e-05	6.54793e-05	2584.2
5	6.54793e-05	8.19461e-05	2584.2
6	8.19461e-05	9.97557e-05	1103.2
7	9.97557e-05	0.000119018	1103.2
8	0.000119018	0.00013985	620.956
9	0.00013985	0.000162382	620.956
10	0.000162382	0.000186751	441.181
11	0.000186751	0.000213108	441.181
12	0.000213108	0.000241614	347.674
13	0.000241614	0.000272444	347.674
14	0.000272444	0.000305789	305.638
15	0.000305789	0.000341853	305.638
16	0.000341853	0.000380858	301.969
17	0.000380858	0.000423044	301.969
18	0.000423044	0.00046867	328.53
19	0.00046867	0.000518016	328.53
20	0.000518016	0.000571388	386.073
21	0.000571388	0.000629111	386.073
22	0.000629111	0.000691542	467.703
23	0.000691542	0.000759064	467.703
24	0.000759064	0.000832092	554.307
25	0.000832092	0.000911076	554.307
26	0.000911076	0.000996501	625.237
27	0.000996501	0.00108889	625.237
28	0.00108889	0.00118882	668.66
29	0.00118882	0.00129689	668.66
30	0.00129689	0.00141378	685.836
31	0.00141378	0.0015402	685.836
32	0.0015402	0.00167693	688.396
33	0.00167693	0.00182481	688.396
34	0.00182481	0.00198475	691.259
35	0.00198475	0.00215774	691.259
36	0.00215774	0.00234483	705.89
37	0.00234483	0.00254717	705.89
38	0.00254717	0.00276602	741.638
39	0.00276602	0.00300272	741.638
40	0.00300272	0.00325871	808.281
41	0.00325871	0.00353559	808.281
42	0.00353559	0.00383504	911.389
43	0.00383504	0.00415891	911.389
44	0.00415891	0.0045092	1044.55
45	0.0045092	0.00488805	1044.55
46	0.00488805	0.0052978	1188.13
47	0.0052978	0.00574096	1188.13
48	0.00574096	0.00622026	1312.07
49	0.00622026	0.00673865	1312.07
50	0.00673865	0.00729931	1387.47
51	0.00729931	0.00790569	1387.47
52	0.00790569	0.00856153	1401.54
53	0.00856153	0.00927085	1401.54
54	0.00927085	0.010038	1311.62
55	0.010038	0.0108677	1311.62
56	0.0108677	0.0117651	1311.62
57	0.0117651	0.0127357	1311.62
58	0.0127357	0.0137854	1049.96
59	0.0137854	0.0149207	1049.96
60	0.0149207	0.0161486	1049.96
61	0.0161486	0.0174767	1049.96
62	0.0174767	0.018913	1049.96
63	0.018913	inf	1049.96
